OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
209921,USB-C Charging Cable,1,11.95,2019-06-23 19:34:00,"950 Walnut St, Portland, ME 04101",11.95,Portland,June,19
209922,Macbook Pro Laptop,1,1700.0,2019-06-30 10:05:00,"80 4th St, San Francisco, CA 94016",1700.0,San Francisco,June,10
209923,ThinkPad Laptop,1,999.99,2019-06-24 20:18:00,"402 Jackson St, Los Angeles, CA 90001",999.99,Los Angeles,June,20
209924,27in FHD Monitor,1,149.99,2019-06-05 10:21:00,"560 10th St, Seattle, WA 98101",149.99,Seattle,June,10
209925,Bose SoundSport Headphones,1,99.99,2019-06-25 18:58:00,"545 2nd St, San Francisco, CA 94016",99.99,San Francisco,June,18
209926,Apple Airpods Headphones,1,150.0,2019-06-28 20:04:00,"386 Lake St, Seattle, WA 98101",150.0,Seattle,June,20
209927,Lightning Charging Cable,1,14.95,2019-06-28 00:07:00,"29 Lincoln St, Los Angeles, CA 90001",14.95,Los Angeles,June,0
209928,Apple Airpods Headphones,1,150.0,2019-06-16 21:30:00,"350 9th St, New York City, NY 10001",150.0,New York City,June,21
209929,Wired Headphones,1,11.99,2019-06-28 10:56:00,"612 Meadow St, Portland, OR 97035",11.99,Portland,June,10
209930,27in FHD Monitor,1,149.99,2019-06-02 11:22:00,"625 Ridge St, Los Angeles, CA 90001",149.99,Los Angeles,June,11
209931,Apple Airpods Headphones,1,150.0,2019-06-24 13:55:00,"761 14th St, New York City, NY 10001",150.0,New York City,June,13
209932,Flatscreen TV,1,300.0,2019-06-12 14:36:00,"858 8th St, Boston, MA 02215",300.0,Boston,June,14
209933,AA Batteries (4-pack),1,3.84,2019-06-07 15:39:00,"932 Lakeview St, San Francisco, CA 94016",3.84,San Francisco,June,15
209934,AAA Batteries (4-pack),1,2.99,2019-06-13 20:53:00,"387 Dogwood St, Boston, MA 02215",2.99,Boston,June,20
209935,AAA Batteries (4-pack),1,2.99,2019-06-09 11:13:00,"530 Cedar St, Boston, MA 02215",2.99,Boston,June,11
