OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
162009,iPhone,1,700.0,2019-03-28 20:59:00,"942 Church St, Austin, TX 73301",700.0,Austin,March,20
162009,Lightning Charging Cable,1,14.95,2019-03-28 20:59:00,"942 Church St, Austin, TX 73301",14.95,Austin,March,20
162009,Wired Headphones,2,11.99,2019-03-28 20:59:00,"942 Church St, Austin, TX 73301",23.98,Austin,March,20
162010,Bose SoundSport Headphones,1,99.99,2019-03-17 05:39:00,"261 10th St, San Francisco, CA 94016",99.99,San Francisco,March,5
162011,34in Ultrawide Monitor,1,379.99,2019-03-10 00:01:00,"764 13th St, San Francisco, CA 94016",379.99,San Francisco,March,0
162012,AA Batteries (4-pack),1,3.84,2019-03-20 21:33:00,"187 Ridge St, San Francisco, CA 94016",3.84,San Francisco,March,21
162013,34in Ultrawide Monitor,1,379.99,2019-03-15 23:05:00,"904 Main St, Austin, TX 73301",379.99,Austin,March,23
162014,USB-C Charging Cable,1,11.95,2019-03-01 21:33:00,"10 13th St, San Francisco, CA 94016",11.95,San Francisco,March,21
162015,AA Batteries (4-pack),1,3.84,2019-03-02 08:52:00,"949 Jefferson St, Boston, MA 02215",3.84,Boston,March,8
162016,AAA Batteries (4-pack),5,2.99,2019-03-19 21:10:00,"469 Highland St, Atlanta, GA 30301",14.950000000000001,Atlanta,March,21
162017,Lightning Charging Cable,1,14.95,2019-03-02 13:55:00,"449 River St, San Francisco, CA 94016",14.95,San Francisco,March,13
162018,USB-C Charging Cable,2,11.95,2019-03-18 11:07:00,"925 Maple St, Portland, OR 97035",23.9,Portland,March,11
162019,AAA Batteries (4-pack),1,2.99,2019-03-05 12:20:00,"639 4th St, Atlanta, GA 30301",2.99,Atlanta,March,12
162020,LG Washing Machine,1,600.0,2019-03-26 18:17:00,"616 Jackson St, Dallas, TX 75001",600.0,Dallas,March,18
162021,Wired Headphones,1,11.99,2019-03-30 12:02:00,"645 Wilson St, Los Angeles, CA 90001",11.99,Los Angeles,March,12
162022,AA Batteries (4-pack),1,3.84,2019-03-17 22:18:00,"473 Hill St, New York City, NY 10001",3.84,New York City,March,22
162023,Apple Airpods Headphones,1,150.0,2019-03-11 20:00:00,"404 Park St, San Francisco, CA 94016",150.0,San Francisco,March,20
162024,27in 4K Gaming Monitor,1,389.99,2019-03-17 09:22:00,"952 Willow St, Atlanta, GA 30301",389.99,Atlanta,March,9
162025,AAA Batteries (4-pack),1,2.99,2019-03-07 20:50:00,"110 7th St, Boston, MA 02215",2.99,Boston,March,20
162026,iPhone,1,700.0,2019-03-22 22:31:00,"71 Pine St, Austin, TX 73301",700.0,Austin,March,22
162027,AAA Batteries (4-pack),1,2.99,2019-03-16 20:52:00,"421 Main St, Los Angeles, CA 90001",2.99,Los Angeles,March,20
162028,AAA Batteries (4-pack),3,2.99,2019-03-20 15:23:00,"739 1st St, San Francisco, CA 94016",8.97,San Francisco,March,15
162029,AAA Batteries (4-pack),1,2.99,2019-03-26 12:17:00,"141 North St, Atlanta, GA 30301",2.99,Atlanta,March,12
162030,Google Phone,1,600.0,2019-03-09 16:50:00,"463 4th St, San Francisco, CA 94016",600.0,San Francisco,March,16
162031,Lightning Charging Cable,1,14.95,2019-03-28 17:03:00,"131 Johnson St, Boston, MA 02215",14.95,Boston,March,17
162032,Lightning Charging Cable,1,14.95,2019-03-31 10:39:00,"498 4th St, Los Angeles, CA 90001",14.95,Los Angeles,March,10
162033,iPhone,1,700.0,2019-03-19 11:06:00,"267 Johnson St, Dallas, TX 75001",700.0,Dallas,March,11
162034,USB-C Charging Cable,1,11.95,2019-03-26 20:34:00,"104 Center St, Seattle, WA 98101",11.95,Seattle,March,20
162035,Macbook Pro Laptop,1,1700.0,2019-03-08 13:07:00,"44 4th St, Los Angeles, CA 90001",1700.0,Los Angeles,March,13
162036,Lightning Charging Cable,1,14.95,2019-03-09 19:39:00,"905 Spruce St, San Francisco, CA 94016",14.95,San Francisco,March,19
162037,iPhone,1,700.0,2019-03-23 02:11:00,"277 Elm St, Los Angeles, CA 90001",700.0,Los Angeles,March,2
162037,Lightning Charging Cable,1,14.95,2019-03-23 02:11:00,"277 Elm St, Los Angeles, CA 90001",14.95,Los Angeles,March,2
162038,AAA Batteries (4-pack),2,2.99,2019-03-18 20:31:00,"53 10th St, Atlanta, GA 30301",5.98,Atlanta,March,20
162039,AA Batteries (4-pack),1,3.84,2019-03-29 12:01:00,"175 West St, San Francisco, CA 94016",3.84,San Francisco,March,12
162040,USB-C Charging Cable,1,11.95,2019-03-25 09:11:00,"973 North St, Austin, TX 73301",11.95,Austin,March,9
162041,Apple Airpods Headphones,1,150.0,2019-03-14 01:01:00,"633 13th St, Austin, TX 73301",150.0,Austin,March,1
162042,USB-C Charging Cable,1,11.95,2019-03-09 22:39:00,"661 7th St, San Francisco, CA 94016",11.95,San Francisco,March,22
162043,AA Batteries (4-pack),1,3.84,2019-03-29 10:59:00,"883 Walnut St, Atlanta, GA 30301",3.84,Atlanta,March,10
162044,27in FHD Monitor,1,149.99,2019-03-22 10:11:00,"469 9th St, Dallas, TX 75001",149.99,Dallas,March,10
162045,Apple Airpods Headphones,1,150.0,2019-03-26 13:31:00,"906 Park St, New York City, NY 10001",150.0,New York City,March,13
162046,AAA Batteries (4-pack),2,2.99,2019-03-20 20:33:00,"661 1st St, San Francisco, CA 94016",5.98,San Francisco,March,20
162047,Bose SoundSport Headphones,1,99.99,2019-03-08 18:41:00,"819 9th St, Austin, TX 73301",99.99,Austin,March,18
162048,AA Batteries (4-pack),1,3.84,2019-03-31 19:24:00,"819 Main St, New York City, NY 10001",3.84,New York City,March,19
162049,Lightning Charging Cable,1,14.95,2019-03-25 13:35:00,"307 Chestnut St, Austin, TX 73301",14.95,Austin,March,13
162050,AAA Batteries (4-pack),1,2.99,2019-03-26 17:09:00,"870 Spruce St, Boston, MA 02215",2.99,Boston,March,17
162051,AAA Batteries (4-pack),1,2.99,2019-03-12 09:12:00,"565 South St, Boston, MA 02215",2.99,Boston,March,9
162052,Wired Headphones,1,11.99,2019-03-11 09:44:00,"971 Washington St, Los Angeles, CA 90001",11.99,Los Angeles,March,9
162053,iPhone,1,700.0,2019-03-10 18:29:00,"660 7th St, Seattle, WA 98101",700.0,Seattle,March,18
162054,Wired Headphones,1,11.99,2019-03-20 00:42:00,"358 5th St, San Francisco, CA 94016",11.99,San Francisco,March,0
162055,AA Batteries (4-pack),1,3.84,2019-03-29 09:21:00,"675 8th St, Los Angeles, CA 90001",3.84,Los Angeles,March,9
162056,Wired Headphones,1,11.99,2019-03-17 10:24:00,"55 Adams St, San Francisco, CA 94016",11.99,San Francisco,March,10
162057,Wired Headphones,1,11.99,2019-03-30 18:44:00,"485 Maple St, Los Angeles, CA 90001",11.99,Los Angeles,March,18
162058,27in FHD Monitor,1,149.99,2019-03-30 02:30:00,"510 Church St, New York City, NY 10001",149.99,New York City,March,2
162059,USB-C Charging Cable,1,11.95,2019-03-03 05:47:00,"602 Willow St, Seattle, WA 98101",11.95,Seattle,March,5
162060,AAA Batteries (4-pack),3,2.99,2019-03-10 16:04:00,"703 Lake St, Seattle, WA 98101",8.97,Seattle,March,16
162061,Wired Headphones,1,11.99,2019-03-01 22:07:00,"967 10th St, New York City, NY 10001",11.99,New York City,March,22
162062,AAA Batteries (4-pack),1,2.99,2019-03-24 03:37:00,"235 Park St, Portland, OR 97035",2.99,Portland,March,3
162063,AAA Batteries (4-pack),2,2.99,2019-03-02 11:58:00,"693 12th St, Austin, TX 73301",5.98,Austin,March,11
162064,Macbook Pro Laptop,1,1700.0,2019-03-05 09:00:00,"414 Willow St, San Francisco, CA 94016",1700.0,San Francisco,March,9
162065,Google Phone,1,600.0,2019-03-02 13:18:00,"862 Spruce St, San Francisco, CA 94016",600.0,San Francisco,March,13
162066,AA Batteries (4-pack),1,3.84,2019-03-13 13:57:00,"602 Pine St, New York City, NY 10001",3.84,New York City,March,13
162066,USB-C Charging Cable,2,11.95,2019-03-13 13:57:00,"602 Pine St, New York City, NY 10001",23.9,New York City,March,13
162067,ThinkPad Laptop,1,999.99,2019-03-07 23:40:00,"4 Cedar St, San Francisco, CA 94016",999.99,San Francisco,March,23
162068,Wired Headphones,1,11.99,2019-03-24 12:25:00,"117 1st St, Austin, TX 73301",11.99,Austin,March,12
162069,AA Batteries (4-pack),1,3.84,2019-03-15 16:53:00,"853 Park St, Boston, MA 02215",3.84,Boston,March,16
162070,27in FHD Monitor,1,149.99,2019-03-15 18:19:00,"859 South St, Los Angeles, CA 90001",149.99,Los Angeles,March,18
162071,Vareebadd Phone,1,400.0,2019-03-30 20:23:00,"334 Jackson St, Atlanta, GA 30301",400.0,Atlanta,March,20
162071,USB-C Charging Cable,1,11.95,2019-03-30 20:23:00,"334 Jackson St, Atlanta, GA 30301",11.95,Atlanta,March,20
162072,AA Batteries (4-pack),1,3.84,2019-03-02 12:04:00,"945 Adams St, New York City, NY 10001",3.84,New York City,March,12
162073,Bose SoundSport Headphones,1,99.99,2019-03-23 20:52:00,"573 Lakeview St, San Francisco, CA 94016",99.99,San Francisco,March,20
162074,Apple Airpods Headphones,1,150.0,2019-03-05 12:45:00,"928 Dogwood St, San Francisco, CA 94016",150.0,San Francisco,March,12
162075,Apple Airpods Headphones,1,150.0,2019-03-11 09:19:00,"456 7th St, New York City, NY 10001",150.0,New York City,March,9
162076,Wired Headphones,1,11.99,2019-03-04 09:12:00,"424 Wilson St, Dallas, TX 75001",11.99,Dallas,March,9
162077,AAA Batteries (4-pack),1,2.99,2019-03-22 11:54:00,"783 Johnson St, New York City, NY 10001",2.99,New York City,March,11
162078,Lightning Charging Cable,1,14.95,2019-03-02 16:48:00,"167 North St, San Francisco, CA 94016",14.95,San Francisco,March,16
162079,Google Phone,1,600.0,2019-03-24 21:36:00,"144 West St, Los Angeles, CA 90001",600.0,Los Angeles,March,21
162080,Apple Airpods Headphones,1,150.0,2019-03-24 09:37:00,"245 Chestnut St, Boston, MA 02215",150.0,Boston,March,9
162081,Lightning Charging Cable,1,14.95,2019-03-26 20:58:00,"183 Dogwood St, Los Angeles, CA 90001",14.95,Los Angeles,March,20
162082,Vareebadd Phone,1,400.0,2019-03-09 14:15:00,"401 Wilson St, New York City, NY 10001",400.0,New York City,March,14
162082,Wired Headphones,1,11.99,2019-03-09 14:15:00,"401 Wilson St, New York City, NY 10001",11.99,New York City,March,14
162083,Wired Headphones,1,11.99,2019-03-27 19:04:00,"162 Lakeview St, Atlanta, GA 30301",11.99,Atlanta,March,19
162084,iPhone,1,700.0,2019-03-27 12:53:00,"585 14th St, Los Angeles, CA 90001",700.0,Los Angeles,March,12
162085,Lightning Charging Cable,1,14.95,2019-03-24 19:52:00,"705 Highland St, San Francisco, CA 94016",14.95,San Francisco,March,19
162086,Google Phone,1,600.0,2019-03-18 09:12:00,"410 Chestnut St, New York City, NY 10001",600.0,New York City,March,9
162087,Google Phone,1,600.0,2019-03-18 13:58:00,"303 Chestnut St, Boston, MA 02215",600.0,Boston,March,13
162087,USB-C Charging Cable,1,11.95,2019-03-18 13:58:00,"303 Chestnut St, Boston, MA 02215",11.95,Boston,March,13
162088,Google Phone,1,600.0,2019-03-02 15:50:00,"231 Jackson St, Los Angeles, CA 90001",600.0,Los Angeles,March,15
162089,Wired Headphones,1,11.99,2019-03-07 12:25:00,"692 13th St, New York City, NY 10001",11.99,New York City,March,12
162090,Bose SoundSport Headphones,1,99.99,2019-03-12 13:03:00,"747 Wilson St, Austin, TX 73301",99.99,Austin,March,13
162091,Bose SoundSport Headphones,1,99.99,2019-03-18 08:13:00,"926 Main St, Boston, MA 02215",99.99,Boston,March,8
162092,Flatscreen TV,1,300.0,2019-03-18 11:29:00,"477 11th St, Seattle, WA 98101",300.0,Seattle,March,11
162092,AAA Batteries (4-pack),1,2.99,2019-03-18 11:29:00,"477 11th St, Seattle, WA 98101",2.99,Seattle,March,11
162093,Vareebadd Phone,1,400.0,2019-03-19 11:32:00,"855 Lakeview St, Boston, MA 02215",400.0,Boston,March,11
162094,ThinkPad Laptop,1,999.99,2019-03-21 03:42:00,"959 River St, Atlanta, GA 30301",999.99,Atlanta,March,3
162095,Wired Headphones,1,11.99,2019-03-29 13:18:00,"628 Lakeview St, Seattle, WA 98101",11.99,Seattle,March,13
162096,Bose SoundSport Headphones,1,99.99,2019-03-04 00:20:00,"323 Hill St, New York City, NY 10001",99.99,New York City,March,0
162097,Flatscreen TV,1,300.0,2019-03-28 13:43:00,"929 Elm St, New York City, NY 10001",300.0,New York City,March,13
162098,Flatscreen TV,1,300.0,2019-03-07 15:44:00,"84 Center St, New York City, NY 10001",300.0,New York City,March,15
162099,USB-C Charging Cable,1,11.95,2019-03-03 00:18:00,"598 Washington St, Los Angeles, CA 90001",11.95,Los Angeles,March,0
162100,Wired Headphones,1,11.99,2019-03-04 00:17:00,"635 Spruce St, Boston, MA 02215",11.99,Boston,March,0
162101,Macbook Pro Laptop,1,1700.0,2019-03-30 10:47:00,"253 11th St, Seattle, WA 98101",1700.0,Seattle,March,10
162102,Wired Headphones,1,11.99,2019-03-31 19:51:00,"69 Center St, New York City, NY 10001",11.99,New York City,March,19
162103,AAA Batteries (4-pack),1,2.99,2019-03-18 20:50:00,"860 Main St, Portland, OR 97035",2.99,Portland,March,20
162104,Lightning Charging Cable,1,14.95,2019-03-05 15:25:00,"572 Walnut St, New York City, NY 10001",14.95,New York City,March,15
162105,USB-C Charging Cable,1,11.95,2019-03-09 08:45:00,"911 South St, Seattle, WA 98101",11.95,Seattle,March,8
162106,AA Batteries (4-pack),1,3.84,2019-03-02 15:25:00,"484 Cedar St, Los Angeles, CA 90001",3.84,Los Angeles,March,15
162107,Wired Headphones,1,11.99,2019-03-29 15:15:00,"260 14th St, Austin, TX 73301",11.99,Austin,March,15
162108,USB-C Charging Cable,2,11.95,2019-03-26 11:38:00,"113 7th St, Los Angeles, CA 90001",23.9,Los Angeles,March,11
162109,Lightning Charging Cable,1,14.95,2019-03-25 11:12:00,"686 5th St, New York City, NY 10001",14.95,New York City,March,11
162110,20in Monitor,1,109.99,2019-03-15 09:05:00,"705 South St, Los Angeles, CA 90001",109.99,Los Angeles,March,9
162111,AA Batteries (4-pack),3,3.84,2019-03-08 16:59:00,"561 West St, San Francisco, CA 94016",11.52,San Francisco,March,16
162112,34in Ultrawide Monitor,1,379.99,2019-03-15 21:52:00,"953 Spruce St, Boston, MA 02215",379.99,Boston,March,21
