OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
278797,Wired Headphones,1,11.99,2019-11-21 09:54:00,"46 Park St, New York City, NY 10001",11.99,New York City,November,9
278798,USB-C Charging Cable,2,11.95,2019-11-17 10:03:00,"962 Hickory St, Austin, TX 73301",23.9,Austin,November,10
278799,Apple Airpods Headphones,1,150.0,2019-11-19 14:56:00,"464 Cherry St, Los Angeles, CA 90001",150.0,Los Angeles,November,14
278800,27in FHD Monitor,1,149.99,2019-11-25 22:24:00,"649 10th St, Seattle, WA 98101",149.99,Seattle,November,22
278801,Bose SoundSport Headphones,1,99.99,2019-11-09 13:56:00,"522 Hill St, Boston, MA 02215",99.99,Boston,November,13
278802,USB-C Charging Cable,1,11.95,2019-11-14 20:34:00,"154 2nd St, San Francisco, CA 94016",11.95,San Francisco,November,20
278803,Lightning Charging Cable,1,14.95,2019-11-11 08:05:00,"724 5th St, San Francisco, CA 94016",14.95,San Francisco,November,8
278804,Bose SoundSport Headphones,1,99.99,2019-11-15 11:48:00,"866 Sunset St, Austin, TX 73301",99.99,Austin,November,11
278805,Lightning Charging Cable,1,14.95,2019-11-27 11:50:00,"670 Elm St, San Francisco, CA 94016",14.95,San Francisco,November,11
278806,Bose SoundSport Headphones,1,99.99,2019-11-19 19:12:00,"174 2nd St, Boston, MA 02215",99.99,Boston,November,19
278806,ThinkPad Laptop,1,999.99,2019-11-19 19:12:00,"174 2nd St, Boston, MA 02215",999.99,Boston,November,19
278807,ThinkPad Laptop,1,999.99,2019-11-25 21:52:00,"240 Elm St, Austin, TX 73301",999.99,Austin,November,21
278808,AAA Batteries (4-pack),1,2.99,2019-11-23 13:19:00,"155 Highland St, Boston, MA 02215",2.99,Boston,November,13
278809,AA Batteries (4-pack),1,3.84,2019-11-17 12:38:00,"969 13th St, Dallas, TX 75001",3.84,Dallas,November,12
278810,USB-C Charging Cable,1,11.95,2019-11-03 16:55:00,"454 Cherry St, Boston, MA 02215",11.95,Boston,November,16
278811,Wired Headphones,1,11.99,2019-11-06 16:01:00,"99 Elm St, San Francisco, CA 94016",11.99,San Francisco,November,16
278811,Apple Airpods Headphones,1,150.0,2019-11-06 16:01:00,"99 Elm St, San Francisco, CA 94016",150.0,San Francisco,November,16
278812,Apple Airpods Headphones,1,150.0,2019-11-17 20:08:00,"601 Church St, Seattle, WA 98101",150.0,Seattle,November,20
278813,Macbook Pro Laptop,1,1700.0,2019-11-09 22:40:00,"131 6th St, Boston, MA 02215",1700.0,Boston,November,22
278814,AA Batteries (4-pack),3,3.84,2019-11-16 16:45:00,"419 Hill St, Boston, MA 02215",11.52,Boston,November,16
278815,Lightning Charging Cable,1,14.95,2019-11-18 13:06:00,"815 Dogwood St, New York City, NY 10001",14.95,New York City,November,13
278816,Lightning Charging Cable,1,14.95,2019-11-08 08:58:00,"925 5th St, New York City, NY 10001",14.95,New York City,November,8
278817,USB-C Charging Cable,1,11.95,2019-11-05 23:25:00,"503 Chestnut St, Boston, MA 02215",11.95,Boston,November,23
278818,USB-C Charging Cable,1,11.95,2019-11-16 22:12:00,"541 Johnson St, New York City, NY 10001",11.95,New York City,November,22
278819,iPhone,1,700.0,2019-11-04 06:20:00,"880 Maple St, New York City, NY 10001",700.0,New York City,November,6
278819,Apple Airpods Headphones,1,150.0,2019-11-04 06:20:00,"880 Maple St, New York City, NY 10001",150.0,New York City,November,6
278820,USB-C Charging Cable,2,11.95,2019-11-17 15:11:00,"882 Walnut St, Portland, OR 97035",23.9,Portland,November,15
278821,USB-C Charging Cable,1,11.95,2019-11-25 16:17:00,"327 13th St, Dallas, TX 75001",11.95,Dallas,November,16
278822,Bose SoundSport Headphones,1,99.99,2019-11-20 08:17:00,"816 Park St, Atlanta, GA 30301",99.99,Atlanta,November,8
278823,AA Batteries (4-pack),1,3.84,2019-11-29 20:42:00,"234 9th St, Boston, MA 02215",3.84,Boston,November,20
278824,27in FHD Monitor,1,149.99,2019-11-08 11:05:00,"677 Johnson St, Portland, OR 97035",149.99,Portland,November,11
278825,Bose SoundSport Headphones,1,99.99,2019-11-02 00:35:00,"928 Wilson St, San Francisco, CA 94016",99.99,San Francisco,November,0
278826,20in Monitor,1,109.99,2019-11-26 15:58:00,"532 Cedar St, Austin, TX 73301",109.99,Austin,November,15
278827,Apple Airpods Headphones,1,150.0,2019-11-01 13:06:00,"305 Highland St, San Francisco, CA 94016",150.0,San Francisco,November,13
278828,34in Ultrawide Monitor,1,379.99,2019-11-12 20:24:00,"470 13th St, San Francisco, CA 94016",379.99,San Francisco,November,20
278829,iPhone,1,700.0,2019-11-20 22:19:00,"977 Johnson St, Los Angeles, CA 90001",700.0,Los Angeles,November,22
278830,USB-C Charging Cable,1,11.95,2019-11-04 13:28:00,"651 Hill St, Boston, MA 02215",11.95,Boston,November,13
278831,Bose SoundSport Headphones,1,99.99,2019-11-11 12:37:00,"607 8th St, Los Angeles, CA 90001",99.99,Los Angeles,November,12
278832,Vareebadd Phone,1,400.0,2019-11-10 16:10:00,"783 12th St, San Francisco, CA 94016",400.0,San Francisco,November,16
278833,iPhone,1,700.0,2019-11-04 10:34:00,"700 Pine St, San Francisco, CA 94016",700.0,San Francisco,November,10
278833,Lightning Charging Cable,2,14.95,2019-11-04 10:34:00,"700 Pine St, San Francisco, CA 94016",29.9,San Francisco,November,10
278834,Wired Headphones,1,11.99,2019-11-07 13:19:00,"792 9th St, Los Angeles, CA 90001",11.99,Los Angeles,November,13
278835,AAA Batteries (4-pack),1,2.99,2019-11-13 20:05:00,"302 Highland St, San Francisco, CA 94016",2.99,San Francisco,November,20
278836,Wired Headphones,1,11.99,2019-11-26 20:48:00,"989 12th St, New York City, NY 10001",11.99,New York City,November,20
278837,AA Batteries (4-pack),1,3.84,2019-11-10 16:05:00,"349 9th St, San Francisco, CA 94016",3.84,San Francisco,November,16
278838,Flatscreen TV,1,300.0,2019-11-12 15:37:00,"835 Main St, San Francisco, CA 94016",300.0,San Francisco,November,15
278839,Lightning Charging Cable,1,14.95,2019-11-23 11:16:00,"614 Church St, San Francisco, CA 94016",14.95,San Francisco,November,11
278840,Bose SoundSport Headphones,1,99.99,2019-11-23 20:46:00,"490 Walnut St, Los Angeles, CA 90001",99.99,Los Angeles,November,20
278840,27in FHD Monitor,1,149.99,2019-11-23 20:46:00,"490 Walnut St, Los Angeles, CA 90001",149.99,Los Angeles,November,20
278841,USB-C Charging Cable,1,11.95,2019-11-28 09:07:00,"847 Dogwood St, San Francisco, CA 94016",11.95,San Francisco,November,9
278842,AA Batteries (4-pack),1,3.84,2019-11-06 00:37:00,"487 Lincoln St, New York City, NY 10001",3.84,New York City,November,0
278843,USB-C Charging Cable,1,11.95,2019-11-07 11:59:00,"435 Hill St, Portland, ME 04101",11.95,Portland,November,11
278844,20in Monitor,1,109.99,2019-11-24 12:37:00,"944 Madison St, Los Angeles, CA 90001",109.99,Los Angeles,November,12
