OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
248151,AA Batteries (4-pack),4,3.84,2019-09-17 14:44:00,"380 North St, Los Angeles, CA 90001",15.36,Los Angeles,September,14
248152,USB-C Charging Cable,2,11.95,2019-09-29 10:19:00,"511 8th St, Austin, TX 73301",23.9,Austin,September,10
248153,USB-C Charging Cable,1,11.95,2019-09-16 17:48:00,"151 Johnson St, Los Angeles, CA 90001",11.95,Los Angeles,September,17
248154,27in FHD Monitor,1,149.99,2019-09-27 07:52:00,"355 Hickory St, Seattle, WA 98101",149.99,Seattle,September,7
248155,USB-C Charging Cable,1,11.95,2019-09-01 19:03:00,"125 5th St, Atlanta, GA 30301",11.95,Atlanta,September,19
248156,34in Ultrawide Monitor,1,379.99,2019-09-13 14:59:00,"469 12th St, Los Angeles, CA 90001",379.99,Los Angeles,September,14
248157,Lightning Charging Cable,1,14.95,2019-09-07 09:59:00,"773 Johnson St, Portland, ME 04101",14.95,Portland,September,9
248158,Lightning Charging Cable,1,14.95,2019-09-02 14:16:00,"682 Sunset St, Los Angeles, CA 90001",14.95,Los Angeles,September,14
248159,Vareebadd Phone,1,400.0,2019-09-06 16:45:00,"664 Wilson St, New York City, NY 10001",400.0,New York City,September,16
248160,Wired Headphones,1,11.99,2019-09-01 22:03:00,"446 9th St, San Francisco, CA 94016",11.99,San Francisco,September,22
248161,USB-C Charging Cable,1,11.95,2019-09-24 16:26:00,"439 Spruce St, San Francisco, CA 94016",11.95,San Francisco,September,16
248162,AAA Batteries (4-pack),3,2.99,2019-09-14 12:52:00,"439 Walnut St, Seattle, WA 98101",8.97,Seattle,September,12
248163,USB-C Charging Cable,1,11.95,2019-09-25 12:32:00,"41 North St, Portland, OR 97035",11.95,Portland,September,12
248164,27in FHD Monitor,1,149.99,2019-09-12 15:57:00,"88 9th St, San Francisco, CA 94016",149.99,San Francisco,September,15
248165,Lightning Charging Cable,1,14.95,2019-09-15 12:42:00,"585 Adams St, Atlanta, GA 30301",14.95,Atlanta,September,12
248166,Apple Airpods Headphones,1,150.0,2019-09-04 14:59:00,"21 9th St, Boston, MA 02215",150.0,Boston,September,14
248167,Google Phone,1,600.0,2019-09-02 18:52:00,"711 Forest St, San Francisco, CA 94016",600.0,San Francisco,September,18
248168,USB-C Charging Cable,1,11.95,2019-09-30 18:59:00,"219 Hickory St, San Francisco, CA 94016",11.95,San Francisco,September,18
248169,20in Monitor,1,109.99,2019-09-24 19:40:00,"140 Ridge St, San Francisco, CA 94016",109.99,San Francisco,September,19
248170,AAA Batteries (4-pack),1,2.99,2019-09-04 02:01:00,"857 Main St, Boston, MA 02215",2.99,Boston,September,2
248171,USB-C Charging Cable,1,11.95,2019-09-05 15:06:00,"705 Hill St, New York City, NY 10001",11.95,New York City,September,15
248171,USB-C Charging Cable,1,11.95,2019-09-05 15:06:00,"705 Hill St, New York City, NY 10001",11.95,New York City,September,15
248172,Wired Headphones,1,11.99,2019-09-13 16:49:00,"820 Hill St, Boston, MA 02215",11.99,Boston,September,16
248173,Apple Airpods Headphones,1,150.0,2019-09-14 20:47:00,"789 Lake St, Atlanta, GA 30301",150.0,Atlanta,September,20
248174,Bose SoundSport Headphones,1,99.99,2019-09-17 22:57:00,"385 Washington St, Dallas, TX 75001",99.99,Dallas,September,22
248175,iPhone,1,700.0,2019-09-08 13:58:00,"736 4th St, Austin, TX 73301",700.0,Austin,September,13
248176,AA Batteries (4-pack),2,3.84,2019-09-12 13:18:00,"177 Sunset St, San Francisco, CA 94016",7.68,San Francisco,September,13
248177,USB-C Charging Cable,1,11.95,2019-09-24 20:36:00,"452 Adams St, San Francisco, CA 94016",11.95,San Francisco,September,20
248178,Apple Airpods Headphones,1,150.0,2019-09-03 21:52:00,"725 Jefferson St, Los Angeles, CA 90001",150.0,Los Angeles,September,21
248179,27in FHD Monitor,1,149.99,2019-09-13 15:06:00,"510 Hickory St, New York City, NY 10001",149.99,New York City,September,15
248180,USB-C Charging Cable,1,11.95,2019-09-28 15:52:00,"99 Ridge St, New York City, NY 10001",11.95,New York City,September,15
248181,Apple Airpods Headphones,1,150.0,2019-09-08 12:40:00,"81 Spruce St, New York City, NY 10001",150.0,New York City,September,12
248182,Apple Airpods Headphones,1,150.0,2019-09-15 13:03:00,"950 West St, New York City, NY 10001",150.0,New York City,September,13
248183,34in Ultrawide Monitor,1,379.99,2019-09-18 17:47:00,"968 Ridge St, San Francisco, CA 94016",379.99,San Francisco,September,17
248184,AA Batteries (4-pack),1,3.84,2019-09-07 11:23:00,"948 Main St, New York City, NY 10001",3.84,New York City,September,11
248185,34in Ultrawide Monitor,1,379.99,2019-09-17 15:10:00,"967 Center St, New York City, NY 10001",379.99,New York City,September,15
248186,USB-C Charging Cable,1,11.95,2019-09-05 13:53:00,"318 Cherry St, Seattle, WA 98101",11.95,Seattle,September,13
248187,AAA Batteries (4-pack),3,2.99,2019-09-07 23:31:00,"173 Elm St, Los Angeles, CA 90001",8.97,Los Angeles,September,23
248188,Apple Airpods Headphones,1,150.0,2019-09-08 22:17:00,"136 12th St, San Francisco, CA 94016",150.0,San Francisco,September,22
248189,Google Phone,1,600.0,2019-09-14 12:45:00,"726 8th St, San Francisco, CA 94016",600.0,San Francisco,September,12
248190,Bose SoundSport Headphones,1,99.99,2019-09-24 21:47:00,"350 Lincoln St, New York City, NY 10001",99.99,New York City,September,21
248191,AAA Batteries (4-pack),1,2.99,2019-09-22 11:25:00,"446 2nd St, San Francisco, CA 94016",2.99,San Francisco,September,11
248192,AAA Batteries (4-pack),2,2.99,2019-09-21 09:16:00,"444 North St, Austin, TX 73301",5.98,Austin,September,9
248193,USB-C Charging Cable,1,11.95,2019-09-05 00:40:00,"867 Hill St, San Francisco, CA 94016",11.95,San Francisco,September,0
248194,20in Monitor,1,109.99,2019-09-29 20:50:00,"519 Cherry St, Dallas, TX 75001",109.99,Dallas,September,20
248195,ThinkPad Laptop,1,999.99,2019-09-10 23:29:00,"631 6th St, Dallas, TX 75001",999.99,Dallas,September,23
248196,Lightning Charging Cable,1,14.95,2019-09-29 21:56:00,"608 Spruce St, Dallas, TX 75001",14.95,Dallas,September,21
248197,Apple Airpods Headphones,1,150.0,2019-09-02 19:39:00,"339 Highland St, Portland, OR 97035",150.0,Portland,September,19
248198,AAA Batteries (4-pack),1,2.99,2019-09-10 00:06:00,"200 Wilson St, Portland, OR 97035",2.99,Portland,September,0
248199,Google Phone,1,600.0,2019-09-11 12:47:00,"780 4th St, Boston, MA 02215",600.0,Boston,September,12
248200,Lightning Charging Cable,1,14.95,2019-09-28 09:11:00,"208 Main St, Atlanta, GA 30301",14.95,Atlanta,September,9
248201,Bose SoundSport Headphones,1,99.99,2019-09-26 07:40:00,"606 North St, New York City, NY 10001",99.99,New York City,September,7
248202,27in FHD Monitor,1,149.99,2019-09-28 14:30:00,"392 10th St, Los Angeles, CA 90001",149.99,Los Angeles,September,14
248203,Apple Airpods Headphones,1,150.0,2019-09-21 08:58:00,"732 Park St, New York City, NY 10001",150.0,New York City,September,8
248204,Macbook Pro Laptop,1,1700.0,2019-09-02 18:42:00,"940 Madison St, Seattle, WA 98101",1700.0,Seattle,September,18
248205,AA Batteries (4-pack),3,3.84,2019-09-06 14:09:00,"353 Lake St, Atlanta, GA 30301",11.52,Atlanta,September,14
248206,AAA Batteries (4-pack),1,2.99,2019-09-30 21:51:00,"414 7th St, San Francisco, CA 94016",2.99,San Francisco,September,21
248207,Flatscreen TV,1,300.0,2019-09-05 14:15:00,"636 13th St, Los Angeles, CA 90001",300.0,Los Angeles,September,14
248208,Macbook Pro Laptop,1,1700.0,2019-09-11 19:30:00,"22 7th St, Portland, ME 04101",1700.0,Portland,September,19
248209,Apple Airpods Headphones,1,150.0,2019-09-14 20:38:00,"477 Church St, San Francisco, CA 94016",150.0,San Francisco,September,20
248210,iPhone,1,700.0,2019-09-27 10:33:00,"292 Washington St, San Francisco, CA 94016",700.0,San Francisco,September,10
248210,Lightning Charging Cable,1,14.95,2019-09-27 10:33:00,"292 Washington St, San Francisco, CA 94016",14.95,San Francisco,September,10
248211,AA Batteries (4-pack),1,3.84,2019-09-26 09:09:00,"602 4th St, San Francisco, CA 94016",3.84,San Francisco,September,9
248212,USB-C Charging Cable,3,11.95,2019-09-20 16:34:00,"244 Jefferson St, Boston, MA 02215",35.849999999999994,Boston,September,16
248213,27in 4K Gaming Monitor,1,389.99,2019-09-22 19:52:00,"852 Dogwood St, Los Angeles, CA 90001",389.99,Los Angeles,September,19
248214,Lightning Charging Cable,1,14.95,2019-09-16 17:51:00,"213 West St, San Francisco, CA 94016",14.95,San Francisco,September,17
248215,34in Ultrawide Monitor,1,379.99,2019-09-24 13:36:00,"876 Maple St, San Francisco, CA 94016",379.99,San Francisco,September,13
248216,AAA Batteries (4-pack),1,2.99,2019-09-19 16:43:00,"394 Madison St, San Francisco, CA 94016",2.99,San Francisco,September,16
248217,Apple Airpods Headphones,1,150.0,2019-09-29 11:54:00,"539 Forest St, Boston, MA 02215",150.0,Boston,September,11
248218,AA Batteries (4-pack),1,3.84,2019-09-16 20:56:00,"258 Forest St, New York City, NY 10001",3.84,New York City,September,20
248219,Bose SoundSport Headphones,1,99.99,2019-09-24 12:48:00,"665 Maple St, Los Angeles, CA 90001",99.99,Los Angeles,September,12
248219,Google Phone,1,600.0,2019-09-24 12:48:00,"665 Maple St, Los Angeles, CA 90001",600.0,Los Angeles,September,12
248220,Lightning Charging Cable,2,14.95,2019-09-18 10:33:00,"751 Johnson St, San Francisco, CA 94016",29.9,San Francisco,September,10
248221,AA Batteries (4-pack),1,3.84,2019-09-08 07:13:00,"425 4th St, Los Angeles, CA 90001",3.84,Los Angeles,September,7
248222,Lightning Charging Cable,1,14.95,2019-09-22 22:10:00,"139 Ridge St, San Francisco, CA 94016",14.95,San Francisco,September,22
248223,20in Monitor,1,109.99,2019-09-07 20:39:00,"350 11th St, Seattle, WA 98101",109.99,Seattle,September,20
248224,AAA Batteries (4-pack),2,2.99,2019-09-24 14:36:00,"523 Wilson St, New York City, NY 10001",5.98,New York City,September,14
248225,Lightning Charging Cable,1,14.95,2019-09-30 13:11:00,"414 12th St, San Francisco, CA 94016",14.95,San Francisco,September,13
248226,Wired Headphones,1,11.99,2019-09-23 17:50:00,"316 10th St, Boston, MA 02215",11.99,Boston,September,17
248227,Lightning Charging Cable,1,14.95,2019-09-07 17:23:00,"182 Hickory St, Austin, TX 73301",14.95,Austin,September,17
248228,Lightning Charging Cable,1,14.95,2019-09-26 19:18:00,"956 Sunset St, Boston, MA 02215",14.95,Boston,September,19
248229,Wired Headphones,1,11.99,2019-09-08 22:29:00,"191 Spruce St, San Francisco, CA 94016",11.99,San Francisco,September,22
248230,AA Batteries (4-pack),1,3.84,2019-09-14 23:11:00,"939 1st St, San Francisco, CA 94016",3.84,San Francisco,September,23
248231,Flatscreen TV,1,300.0,2019-09-20 11:14:00,"753 2nd St, Los Angeles, CA 90001",300.0,Los Angeles,September,11
248232,Lightning Charging Cable,1,14.95,2019-09-11 05:25:00,"339 Willow St, Los Angeles, CA 90001",14.95,Los Angeles,September,5
248233,AAA Batteries (4-pack),1,2.99,2019-09-28 12:24:00,"192 Jackson St, Dallas, TX 75001",2.99,Dallas,September,12
248234,34in Ultrawide Monitor,1,379.99,2019-09-05 10:46:00,"855 Forest St, San Francisco, CA 94016",379.99,San Francisco,September,10
248235,Lightning Charging Cable,1,14.95,2019-09-26 20:16:00,"374 Cherry St, San Francisco, CA 94016",14.95,San Francisco,September,20
248236,Lightning Charging Cable,1,14.95,2019-09-13 15:34:00,"429 Wilson St, Boston, MA 02215",14.95,Boston,September,15
248237,Wired Headphones,1,11.99,2019-09-23 22:15:00,"255 9th St, New York City, NY 10001",11.99,New York City,September,22
248238,Wired Headphones,1,11.99,2019-09-04 12:59:00,"741 11th St, Los Angeles, CA 90001",11.99,Los Angeles,September,12
248239,Wired Headphones,1,11.99,2019-09-13 21:31:00,"276 11th St, Los Angeles, CA 90001",11.99,Los Angeles,September,21
248240,AAA Batteries (4-pack),1,2.99,2019-09-28 15:16:00,"823 Meadow St, San Francisco, CA 94016",2.99,San Francisco,September,15
248241,AA Batteries (4-pack),2,3.84,2019-09-22 16:12:00,"210 Maple St, Seattle, WA 98101",7.68,Seattle,September,16
248242,Lightning Charging Cable,2,14.95,2019-09-13 19:21:00,"832 Johnson St, San Francisco, CA 94016",29.9,San Francisco,September,19
248243,USB-C Charging Cable,1,11.95,2019-09-04 10:49:00,"522 12th St, San Francisco, CA 94016",11.95,San Francisco,September,10
248244,Lightning Charging Cable,1,14.95,2019-09-21 16:01:00,"57 Willow St, Dallas, TX 75001",14.95,Dallas,September,16
248245,Wired Headphones,1,11.99,2019-09-15 10:40:00,"969 Maple St, Dallas, TX 75001",11.99,Dallas,September,10
248246,Wired Headphones,1,11.99,2019-09-11 20:13:00,"727 Center St, Los Angeles, CA 90001",11.99,Los Angeles,September,20
248247,27in 4K Gaming Monitor,1,389.99,2019-09-09 23:35:00,"192 7th St, New York City, NY 10001",389.99,New York City,September,23
248248,Apple Airpods Headphones,1,150.0,2019-09-14 15:12:00,"769 6th St, New York City, NY 10001",150.0,New York City,September,15
248249,AA Batteries (4-pack),1,3.84,2019-09-10 16:32:00,"428 Center St, Seattle, WA 98101",3.84,Seattle,September,16
248250,iPhone,1,700.0,2019-09-05 18:09:00,"374 Ridge St, Seattle, WA 98101",700.0,Seattle,September,18
248251,Vareebadd Phone,1,400.0,2019-09-22 05:16:00,"652 West St, Dallas, TX 75001",400.0,Dallas,September,5
248252,AA Batteries (4-pack),1,3.84,2019-09-19 01:13:00,"565 Sunset St, Dallas, TX 75001",3.84,Dallas,September,1
248253,Bose SoundSport Headphones,1,99.99,2019-09-13 20:41:00,"296 Highland St, Atlanta, GA 30301",99.99,Atlanta,September,20
248254,AAA Batteries (4-pack),2,2.99,2019-09-19 18:35:00,"353 Madison St, San Francisco, CA 94016",5.98,San Francisco,September,18
248255,Bose SoundSport Headphones,1,99.99,2019-09-02 12:37:00,"240 Cedar St, Seattle, WA 98101",99.99,Seattle,September,12
248256,Wired Headphones,1,11.99,2019-09-03 16:37:00,"384 Maple St, San Francisco, CA 94016",11.99,San Francisco,September,16
248257,USB-C Charging Cable,2,11.95,2019-09-10 09:51:00,"337 11th St, Boston, MA 02215",23.9,Boston,September,9
248258,Macbook Pro Laptop,1,1700.0,2019-09-21 09:57:00,"535 2nd St, Los Angeles, CA 90001",1700.0,Los Angeles,September,9
248259,USB-C Charging Cable,1,11.95,2019-09-14 20:33:00,"814 Lakeview St, Los Angeles, CA 90001",11.95,Los Angeles,September,20
248260,Apple Airpods Headphones,1,150.0,2019-09-26 15:16:00,"998 Adams St, Portland, ME 04101",150.0,Portland,September,15
248261,AAA Batteries (4-pack),2,2.99,2019-09-04 06:21:00,"582 Elm St, San Francisco, CA 94016",5.98,San Francisco,September,6
248262,20in Monitor,1,109.99,2019-09-11 11:44:00,"100 Jefferson St, Seattle, WA 98101",109.99,Seattle,September,11
