OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
236670,Wired Headphones,2,11.99,2019-08-31 22:21:00,"359 Spruce St, Seattle, WA 98101",23.98,Seattle,August,22
236671,Bose SoundSport Headphones,1,99.99,2019-08-15 15:11:00,"492 Ridge St, Dallas, TX 75001",99.99,Dallas,August,15
236672,iPhone,1,700.0,2019-08-06 14:40:00,"149 7th St, Portland, OR 97035",700.0,Portland,August,14
236673,AA Batteries (4-pack),2,3.84,2019-08-29 20:59:00,"631 2nd St, Los Angeles, CA 90001",7.68,Los Angeles,August,20
236674,AA Batteries (4-pack),2,3.84,2019-08-15 19:53:00,"736 14th St, New York City, NY 10001",7.68,New York City,August,19
236675,Wired Headphones,1,11.99,2019-08-02 23:54:00,"470 Hill St, San Francisco, CA 94016",11.99,San Francisco,August,23
236676,34in Ultrawide Monitor,1,379.99,2019-08-04 19:52:00,"470 Cherry St, Los Angeles, CA 90001",379.99,Los Angeles,August,19
236677,20in Monitor,1,109.99,2019-08-13 07:16:00,"918 6th St, San Francisco, CA 94016",109.99,San Francisco,August,7
236678,Wired Headphones,1,11.99,2019-08-25 20:11:00,"58 9th St, San Francisco, CA 94016",11.99,San Francisco,August,20
236679,Macbook Pro Laptop,1,1700.0,2019-08-07 15:43:00,"239 Spruce St, Los Angeles, CA 90001",1700.0,Los Angeles,August,15
236680,LG Washing Machine,1,600.0,2019-08-09 19:38:00,"967 Willow St, San Francisco, CA 94016",600.0,San Francisco,August,19
236681,AA Batteries (4-pack),1,3.84,2019-08-26 20:52:00,"295 1st St, Boston, MA 02215",3.84,Boston,August,20
236682,AA Batteries (4-pack),1,3.84,2019-08-19 12:40:00,"118 Johnson St, Portland, OR 97035",3.84,Portland,August,12
236683,27in FHD Monitor,1,149.99,2019-08-31 15:47:00,"196 West St, Dallas, TX 75001",149.99,Dallas,August,15
236684,Lightning Charging Cable,1,14.95,2019-08-09 16:50:00,"669 12th St, New York City, NY 10001",14.95,New York City,August,16
236685,Apple Airpods Headphones,1,150.0,2019-08-23 19:29:00,"238 Highland St, Atlanta, GA 30301",150.0,Atlanta,August,19
236686,AAA Batteries (4-pack),1,2.99,2019-08-15 19:13:00,"766 Maple St, Dallas, TX 75001",2.99,Dallas,August,19
236687,USB-C Charging Cable,1,11.95,2019-08-23 12:54:00,"668 Meadow St, New York City, NY 10001",11.95,New York City,August,12
236688,34in Ultrawide Monitor,1,379.99,2019-08-08 16:06:00,"821 7th St, Los Angeles, CA 90001",379.99,Los Angeles,August,16
236689,AAA Batteries (4-pack),1,2.99,2019-08-21 10:55:00,"13 Cedar St, San Francisco, CA 94016",2.99,San Francisco,August,10
236690,AAA Batteries (4-pack),1,2.99,2019-08-08 12:00:00,"139 River St, San Francisco, CA 94016",2.99,San Francisco,August,12
236691,USB-C Charging Cable,1,11.95,2019-08-23 07:34:00,"916 Meadow St, Boston, MA 02215",11.95,Boston,August,7
236692,USB-C Charging Cable,1,11.95,2019-08-20 13:26:00,"567 Center St, San Francisco, CA 94016",11.95,San Francisco,August,13
236693,27in 4K Gaming Monitor,1,389.99,2019-08-12 21:57:00,"173 West St, Portland, OR 97035",389.99,Portland,August,21
236694,Apple Airpods Headphones,1,150.0,2019-08-14 23:45:00,"854 Sunset St, New York City, NY 10001",150.0,New York City,August,23
236695,Bose SoundSport Headphones,1,99.99,2019-08-04 19:06:00,"905 Pine St, San Francisco, CA 94016",99.99,San Francisco,August,19
236696,Lightning Charging Cable,1,14.95,2019-08-21 00:48:00,"530 Church St, New York City, NY 10001",14.95,New York City,August,0
236697,AA Batteries (4-pack),1,3.84,2019-08-25 23:13:00,"246 Willow St, San Francisco, CA 94016",3.84,San Francisco,August,23
236698,Wired Headphones,1,11.99,2019-08-07 13:40:00,"526 Chestnut St, Dallas, TX 75001",11.99,Dallas,August,13
236699,AA Batteries (4-pack),2,3.84,2019-08-20 21:07:00,"763 Hill St, Atlanta, GA 30301",7.68,Atlanta,August,21
236700,Wired Headphones,1,11.99,2019-08-09 08:55:00,"534 North St, Los Angeles, CA 90001",11.99,Los Angeles,August,8
236701,Apple Airpods Headphones,1,150.0,2019-08-06 10:36:00,"518 Main St, San Francisco, CA 94016",150.0,San Francisco,August,10
236702,ThinkPad Laptop,1,999.99,2019-08-23 11:10:00,"615 11th St, Dallas, TX 75001",999.99,Dallas,August,11
236703,Bose SoundSport Headphones,1,99.99,2019-08-08 06:09:00,"861 Adams St, Atlanta, GA 30301",99.99,Atlanta,August,6
236704,Flatscreen TV,1,300.0,2019-08-11 08:52:00,"415 Ridge St, San Francisco, CA 94016",300.0,San Francisco,August,8
236705,AA Batteries (4-pack),3,3.84,2019-08-11 22:21:00,"27 North St, Austin, TX 73301",11.52,Austin,August,22
236706,Google Phone,1,600.0,2019-08-14 14:19:00,"621 North St, San Francisco, CA 94016",600.0,San Francisco,August,14
236707,AA Batteries (4-pack),2,3.84,2019-08-14 14:06:00,"306 West St, Los Angeles, CA 90001",7.68,Los Angeles,August,14
236708,Apple Airpods Headphones,1,150.0,2019-08-27 14:00:00,"353 Madison St, San Francisco, CA 94016",150.0,San Francisco,August,14
236709,iPhone,1,700.0,2019-08-04 09:00:00,"869 Jackson St, San Francisco, CA 94016",700.0,San Francisco,August,9
236710,Macbook Pro Laptop,1,1700.0,2019-08-04 02:46:00,"654 Chestnut St, Austin, TX 73301",1700.0,Austin,August,2
236711,Macbook Pro Laptop,1,1700.0,2019-08-28 17:28:00,"627 Lincoln St, Dallas, TX 75001",1700.0,Dallas,August,17
236712,AA Batteries (4-pack),2,3.84,2019-08-30 07:14:00,"548 Jefferson St, Boston, MA 02215",7.68,Boston,August,7
236713,27in FHD Monitor,1,149.99,2019-08-05 20:00:00,"852 8th St, San Francisco, CA 94016",149.99,San Francisco,August,20
236714,27in 4K Gaming Monitor,1,389.99,2019-08-30 09:07:00,"194 Dogwood St, Atlanta, GA 30301",389.99,Atlanta,August,9
236715,27in 4K Gaming Monitor,1,389.99,2019-08-23 11:20:00,"628 Jefferson St, Portland, OR 97035",389.99,Portland,August,11
236716,AA Batteries (4-pack),2,3.84,2019-08-17 20:12:00,"84 Cedar St, San Francisco, CA 94016",7.68,San Francisco,August,20
236716,USB-C Charging Cable,1,11.95,2019-08-17 20:12:00,"84 Cedar St, San Francisco, CA 94016",11.95,San Francisco,August,20
236717,Google Phone,1,600.0,2019-08-11 12:26:00,"394 12th St, Atlanta, GA 30301",600.0,Atlanta,August,12
236718,Apple Airpods Headphones,1,150.0,2019-08-10 13:48:00,"499 7th St, San Francisco, CA 94016",150.0,San Francisco,August,13
236719,AAA Batteries (4-pack),1,2.99,2019-08-05 12:09:00,"948 2nd St, Atlanta, GA 30301",2.99,Atlanta,August,12
236720,Apple Airpods Headphones,1,150.0,2019-08-24 16:49:00,"881 10th St, Dallas, TX 75001",150.0,Dallas,August,16
236721,Apple Airpods Headphones,1,150.0,2019-08-02 12:24:00,"198 Highland St, Seattle, WA 98101",150.0,Seattle,August,12
236722,AAA Batteries (4-pack),2,2.99,2019-08-07 12:42:00,"241 6th St, San Francisco, CA 94016",5.98,San Francisco,August,12
236723,Apple Airpods Headphones,1,150.0,2019-08-01 18:56:00,"654 Pine St, New York City, NY 10001",150.0,New York City,August,18
236724,Apple Airpods Headphones,1,150.0,2019-08-21 01:08:00,"238 Hickory St, San Francisco, CA 94016",150.0,San Francisco,August,1
236725,AAA Batteries (4-pack),3,2.99,2019-08-24 20:15:00,"590 Lakeview St, San Francisco, CA 94016",8.97,San Francisco,August,20
236726,AA Batteries (4-pack),1,3.84,2019-08-29 09:25:00,"434 Church St, Boston, MA 02215",3.84,Boston,August,9
236727,USB-C Charging Cable,1,11.95,2019-08-19 08:10:00,"557 North St, New York City, NY 10001",11.95,New York City,August,8
