OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
295665,Macbook Pro Laptop,1,1700.0,2019-12-30 00:01:00,"136 Church St, New York City, NY 10001",1700.0,New York City,December,0
295666,LG Washing Machine,1,600.0,2019-12-29 07:03:00,"562 2nd St, New York City, NY 10001",600.0,New York City,December,7
295667,USB-C Charging Cable,1,11.95,2019-12-12 18:21:00,"277 Main St, New York City, NY 10001",11.95,New York City,December,18
295668,27in FHD Monitor,1,149.99,2019-12-22 15:13:00,"410 6th St, San Francisco, CA 94016",149.99,San Francisco,December,15
295669,USB-C Charging Cable,1,11.95,2019-12-18 12:38:00,"43 Hill St, Atlanta, GA 30301",11.95,Atlanta,December,12
295670,AA Batteries (4-pack),1,3.84,2019-12-31 22:58:00,"200 Jefferson St, New York City, NY 10001",3.84,New York City,December,22
295671,USB-C Charging Cable,1,11.95,2019-12-16 15:10:00,"928 12th St, Portland, OR 97035",11.95,Portland,December,15
295672,USB-C Charging Cable,2,11.95,2019-12-13 09:29:00,"813 Hickory St, Dallas, TX 75001",23.9,Dallas,December,9
295673,Bose SoundSport Headphones,1,99.99,2019-12-15 23:26:00,"718 Wilson St, Dallas, TX 75001",99.99,Dallas,December,23
295674,AAA Batteries (4-pack),4,2.99,2019-12-28 11:51:00,"77 7th St, Dallas, TX 75001",11.96,Dallas,December,11
295675,USB-C Charging Cable,2,11.95,2019-12-13 13:52:00,"594 1st St, San Francisco, CA 94016",23.9,San Francisco,December,13
295676,ThinkPad Laptop,1,999.99,2019-12-28 17:19:00,"410 Lincoln St, Los Angeles, CA 90001",999.99,Los Angeles,December,17
295677,AA Batteries (4-pack),2,3.84,2019-12-20 19:19:00,"866 Pine St, Boston, MA 02215",7.68,Boston,December,19
295678,AAA Batteries (4-pack),2,2.99,2019-12-06 09:38:00,"187 Lincoln St, Dallas, TX 75001",5.98,Dallas,December,9
295679,USB-C Charging Cable,1,11.95,2019-12-25 09:39:00,"902 2nd St, Dallas, TX 75001",11.95,Dallas,December,9
295680,Lightning Charging Cable,1,14.95,2019-12-01 14:30:00,"338 Main St, Austin, TX 73301",14.95,Austin,December,14
295681,Google Phone,1,600.0,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",600.0,Boston,December,12
295681,USB-C Charging Cable,1,11.95,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",11.95,Boston,December,12
295681,Bose SoundSport Headphones,1,99.99,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",99.99,Boston,December,12
295681,Wired Headphones,1,11.99,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",11.99,Boston,December,12
