OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
150502,iPhone,1,700.0,2019-02-18 01:35:00,"866 Spruce St, Portland, ME 04101",700.0,Portland,February,1
150503,AA Batteries (4-pack),1,3.84,2019-02-13 07:24:00,"18 13th St, San Francisco, CA 94016",3.84,San Francisco,February,7
150504,27in 4K Gaming Monitor,1,389.99,2019-02-18 09:46:00,"52 6th St, New York City, NY 10001",389.99,New York City,February,9
150505,Lightning Charging Cable,1,14.95,2019-02-02 16:47:00,"129 Cherry St, Atlanta, GA 30301",14.95,Atlanta,February,16
150506,AA Batteries (4-pack),2,3.84,2019-02-28 20:32:00,"548 Lincoln St, Seattle, WA 98101",7.68,Seattle,February,20
150507,Lightning Charging Cable,1,14.95,2019-02-24 18:50:00,"387 12th St, Austin, TX 73301",14.95,Austin,February,18
150508,AA Batteries (4-pack),1,3.84,2019-02-21 19:26:00,"622 Center St, San Francisco, CA 94016",3.84,San Francisco,February,19
150509,Apple Airpods Headphones,1,150.0,2019-02-26 19:53:00,"921 6th St, Seattle, WA 98101",150.0,Seattle,February,19
150510,USB-C Charging Cable,1,11.95,2019-02-17 21:48:00,"451 2nd St, Los Angeles, CA 90001",11.95,Los Angeles,February,21
150511,USB-C Charging Cable,1,11.95,2019-02-22 07:36:00,"689 River St, San Francisco, CA 94016",11.95,San Francisco,February,7
150512,Bose SoundSport Headphones,1,99.99,2019-02-17 18:29:00,"198 Center St, Los Angeles, CA 90001",99.99,Los Angeles,February,18
150513,Bose SoundSport Headphones,1,99.99,2019-02-25 20:49:00,"777 Spruce St, Los Angeles, CA 90001",99.99,Los Angeles,February,20
150514,27in FHD Monitor,1,149.99,2019-02-03 00:21:00,"723 Wilson St, Los Angeles, CA 90001",149.99,Los Angeles,February,0
150515,Apple Airpods Headphones,1,150.0,2019-02-18 14:53:00,"101 13th St, New York City, NY 10001",150.0,New York City,February,14
150516,Lightning Charging Cable,1,14.95,2019-02-20 12:29:00,"303 Sunset St, Atlanta, GA 30301",14.95,Atlanta,February,12
150517,Wired Headphones,1,11.99,2019-02-08 12:57:00,"471 13th St, San Francisco, CA 94016",11.99,San Francisco,February,12
150518,Macbook Pro Laptop,1,1700.0,2019-02-26 12:38:00,"847 10th St, San Francisco, CA 94016",1700.0,San Francisco,February,12
150518,iPhone,1,700.0,2019-02-26 12:38:00,"847 10th St, San Francisco, CA 94016",700.0,San Francisco,February,12
150519,Wired Headphones,1,11.99,2019-02-23 13:25:00,"111 Hill St, Dallas, TX 75001",11.99,Dallas,February,13
150520,AA Batteries (4-pack),2,3.84,2019-02-27 14:39:00,"512 Church St, Dallas, TX 75001",7.68,Dallas,February,14
150521,Flatscreen TV,1,300.0,2019-02-27 20:07:00,"588 1st St, Los Angeles, CA 90001",300.0,Los Angeles,February,20
150522,20in Monitor,1,109.99,2019-02-12 00:00:00,"633 Cherry St, Boston, MA 02215",109.99,Boston,February,0
150523,LG Dryer,1,600.0,2019-02-27 20:24:00,"452 8th St, San Francisco, CA 94016",600.0,San Francisco,February,20
150524,Wired Headphones,1,11.99,2019-02-28 13:47:00,"311 8th St, Austin, TX 73301",11.99,Austin,February,13
150525,20in Monitor,1,109.99,2019-02-25 09:38:00,"874 Jefferson St, San Francisco, CA 94016",109.99,San Francisco,February,9
150526,AAA Batteries (4-pack),1,2.99,2019-02-15 11:31:00,"85 Park St, Boston, MA 02215",2.99,Boston,February,11
150527,USB-C Charging Cable,1,11.95,2019-02-07 14:33:00,"165 Jefferson St, Los Angeles, CA 90001",11.95,Los Angeles,February,14
150528,AAA Batteries (4-pack),2,2.99,2019-02-26 23:17:00,"426 Lake St, Los Angeles, CA 90001",5.98,Los Angeles,February,23
150529,AA Batteries (4-pack),4,3.84,2019-02-11 13:10:00,"116 Elm St, Seattle, WA 98101",15.36,Seattle,February,13
150530,ThinkPad Laptop,1,999.99,2019-02-05 14:19:00,"752 Park St, Los Angeles, CA 90001",999.99,Los Angeles,February,14
150531,USB-C Charging Cable,1,11.95,2019-02-28 18:16:00,"457 Maple St, Los Angeles, CA 90001",11.95,Los Angeles,February,18
150532,USB-C Charging Cable,1,11.95,2019-02-04 22:57:00,"645 Walnut St, San Francisco, CA 94016",11.95,San Francisco,February,22
150533,AAA Batteries (4-pack),1,2.99,2019-03-01 03:06:00,"270 Dogwood St, San Francisco, CA 94016",2.99,San Francisco,March,3
150534,AAA Batteries (4-pack),2,2.99,2019-02-12 22:02:00,"246 9th St, Los Angeles, CA 90001",5.98,Los Angeles,February,22
150535,AAA Batteries (4-pack),1,2.99,2019-02-21 11:46:00,"961 2nd St, San Francisco, CA 94016",2.99,San Francisco,February,11
150536,Wired Headphones,1,11.99,2019-02-13 22:43:00,"134 8th St, Los Angeles, CA 90001",11.99,Los Angeles,February,22
150537,Wired Headphones,1,11.99,2019-02-23 13:31:00,"437 12th St, San Francisco, CA 94016",11.99,San Francisco,February,13
150538,Apple Airpods Headphones,1,150.0,2019-02-22 17:28:00,"553 12th St, Atlanta, GA 30301",150.0,Atlanta,February,17
150539,AA Batteries (4-pack),2,3.84,2019-02-18 16:46:00,"103 14th St, San Francisco, CA 94016",7.68,San Francisco,February,16
150540,Apple Airpods Headphones,1,150.0,2019-02-18 15:23:00,"218 Ridge St, Atlanta, GA 30301",150.0,Atlanta,February,15
150541,AAA Batteries (4-pack),1,2.99,2019-03-01 01:03:00,"683 Adams St, Portland, OR 97035",2.99,Portland,March,1
150542,AA Batteries (4-pack),1,3.84,2019-02-02 19:46:00,"517 10th St, Austin, TX 73301",3.84,Austin,February,19
150543,Wired Headphones,1,11.99,2019-02-08 09:21:00,"268 Sunset St, Boston, MA 02215",11.99,Boston,February,9
150544,Lightning Charging Cable,1,14.95,2019-02-10 17:19:00,"723 Elm St, Los Angeles, CA 90001",14.95,Los Angeles,February,17
150545,Macbook Pro Laptop,1,1700.0,2019-02-25 20:35:00,"905 Meadow St, Atlanta, GA 30301",1700.0,Atlanta,February,20
150546,AAA Batteries (4-pack),1,2.99,2019-02-07 14:01:00,"43 1st St, Atlanta, GA 30301",2.99,Atlanta,February,14
150547,AAA Batteries (4-pack),1,2.99,2019-02-06 17:51:00,"511 Washington St, San Francisco, CA 94016",2.99,San Francisco,February,17
150548,Macbook Pro Laptop,1,1700.0,2019-02-18 22:56:00,"750 Forest St, Boston, MA 02215",1700.0,Boston,February,22
150549,iPhone,1,700.0,2019-02-05 20:33:00,"522 West St, Boston, MA 02215",700.0,Boston,February,20
150550,ThinkPad Laptop,1,999.99,2019-02-17 14:45:00,"261 Washington St, Los Angeles, CA 90001",999.99,Los Angeles,February,14
150551,27in 4K Gaming Monitor,1,389.99,2019-02-02 08:25:00,"726 West St, Seattle, WA 98101",389.99,Seattle,February,8
150552,Wired Headphones,1,11.99,2019-02-21 19:06:00,"954 13th St, Boston, MA 02215",11.99,Boston,February,19
150553,34in Ultrawide Monitor,1,379.99,2019-02-20 21:42:00,"700 1st St, Dallas, TX 75001",379.99,Dallas,February,21
150554,AA Batteries (4-pack),1,3.84,2019-02-12 06:49:00,"33 Johnson St, New York City, NY 10001",3.84,New York City,February,6
150555,27in FHD Monitor,1,149.99,2019-02-18 11:27:00,"714 Adams St, Portland, OR 97035",149.99,Portland,February,11
150556,Lightning Charging Cable,1,14.95,2019-02-10 13:25:00,"419 Hill St, Los Angeles, CA 90001",14.95,Los Angeles,February,13
150557,AA Batteries (4-pack),2,3.84,2019-02-22 21:41:00,"372 5th St, Seattle, WA 98101",7.68,Seattle,February,21
150558,Wired Headphones,1,11.99,2019-02-04 16:09:00,"864 Hickory St, Boston, MA 02215",11.99,Boston,February,16
150559,Apple Airpods Headphones,1,150.0,2019-02-07 23:41:00,"506 Willow St, Boston, MA 02215",150.0,Boston,February,23
150560,Apple Airpods Headphones,1,150.0,2019-02-05 14:29:00,"178 14th St, San Francisco, CA 94016",150.0,San Francisco,February,14
150561,Wired Headphones,1,11.99,2019-02-22 17:55:00,"888 Jefferson St, New York City, NY 10001",11.99,New York City,February,17
150562,27in 4K Gaming Monitor,1,389.99,2019-02-16 20:07:00,"663 1st St, Atlanta, GA 30301",389.99,Atlanta,February,20
150563,iPhone,1,700.0,2019-02-20 02:09:00,"631 Pine St, San Francisco, CA 94016",700.0,San Francisco,February,2
150564,USB-C Charging Cable,1,11.95,2019-02-28 13:55:00,"579 9th St, Atlanta, GA 30301",11.95,Atlanta,February,13
150565,Wired Headphones,1,11.99,2019-02-24 19:08:00,"406 Lincoln St, Seattle, WA 98101",11.99,Seattle,February,19
150566,27in FHD Monitor,1,149.99,2019-02-21 18:30:00,"230 Pine St, Los Angeles, CA 90001",149.99,Los Angeles,February,18
150567,Apple Airpods Headphones,1,150.0,2019-02-26 16:12:00,"466 South St, Dallas, TX 75001",150.0,Dallas,February,16
150568,Wired Headphones,1,11.99,2019-02-15 22:49:00,"651 Johnson St, New York City, NY 10001",11.99,New York City,February,22
150569,AA Batteries (4-pack),3,3.84,2019-02-04 13:11:00,"981 Lake St, Seattle, WA 98101",11.52,Seattle,February,13
150570,Wired Headphones,1,11.99,2019-02-18 18:12:00,"786 Meadow St, San Francisco, CA 94016",11.99,San Francisco,February,18
150571,Lightning Charging Cable,1,14.95,2019-02-23 22:41:00,"571 Hickory St, San Francisco, CA 94016",14.95,San Francisco,February,22
150572,27in FHD Monitor,1,149.99,2019-02-06 07:38:00,"523 Spruce St, Atlanta, GA 30301",149.99,Atlanta,February,7
150573,Apple Airpods Headphones,1,150.0,2019-02-25 11:32:00,"455 Highland St, Los Angeles, CA 90001",150.0,Los Angeles,February,11
150574,Lightning Charging Cable,1,14.95,2019-02-17 19:51:00,"25 7th St, Portland, OR 97035",14.95,Portland,February,19
150575,AA Batteries (4-pack),1,3.84,2019-02-10 11:44:00,"776 Elm St, Los Angeles, CA 90001",3.84,Los Angeles,February,11
150576,Bose SoundSport Headphones,1,99.99,2019-02-02 01:33:00,"43 South St, San Francisco, CA 94016",99.99,San Francisco,February,1
150577,AA Batteries (4-pack),1,3.84,2019-02-25 13:27:00,"122 Spruce St, Seattle, WA 98101",3.84,Seattle,February,13
150578,USB-C Charging Cable,1,11.95,2019-02-06 19:05:00,"193 Pine St, San Francisco, CA 94016",11.95,San Francisco,February,19
150579,USB-C Charging Cable,1,11.95,2019-02-27 20:11:00,"320 North St, Los Angeles, CA 90001",11.95,Los Angeles,February,20
150580,AA Batteries (4-pack),1,3.84,2019-02-11 22:06:00,"399 5th St, New York City, NY 10001",3.84,New York City,February,22
150581,AA Batteries (4-pack),1,3.84,2019-02-21 19:51:00,"144 Washington St, Seattle, WA 98101",3.84,Seattle,February,19
150582,iPhone,1,700.0,2019-02-16 23:38:00,"678 Maple St, Seattle, WA 98101",700.0,Seattle,February,23
150582,Lightning Charging Cable,1,14.95,2019-02-16 23:38:00,"678 Maple St, Seattle, WA 98101",14.95,Seattle,February,23
150583,27in FHD Monitor,1,149.99,2019-02-01 20:56:00,"159 Maple St, Seattle, WA 98101",149.99,Seattle,February,20
150584,AAA Batteries (4-pack),1,2.99,2019-02-24 21:41:00,"971 Park St, Boston, MA 02215",2.99,Boston,February,21
150585,USB-C Charging Cable,1,11.95,2019-02-16 14:04:00,"55 Walnut St, Seattle, WA 98101",11.95,Seattle,February,14
150586,Apple Airpods Headphones,1,150.0,2019-02-12 19:25:00,"671 12th St, San Francisco, CA 94016",150.0,San Francisco,February,19
150587,Lightning Charging Cable,1,14.95,2019-02-11 17:43:00,"290 Meadow St, Seattle, WA 98101",14.95,Seattle,February,17
150588,AAA Batteries (4-pack),2,2.99,2019-02-09 09:33:00,"823 Cedar St, Los Angeles, CA 90001",5.98,Los Angeles,February,9
150589,Flatscreen TV,1,300.0,2019-02-24 12:02:00,"123 Washington St, San Francisco, CA 94016",300.0,San Francisco,February,12
150590,Apple Airpods Headphones,1,150.0,2019-02-08 09:35:00,"196 River St, San Francisco, CA 94016",150.0,San Francisco,February,9
150590,AAA Batteries (4-pack),1,2.99,2019-02-08 09:35:00,"196 River St, San Francisco, CA 94016",2.99,San Francisco,February,9
150591,AAA Batteries (4-pack),1,2.99,2019-02-12 15:29:00,"362 Main St, Portland, OR 97035",2.99,Portland,February,15
150592,USB-C Charging Cable,1,11.95,2019-02-02 09:27:00,"756 6th St, Los Angeles, CA 90001",11.95,Los Angeles,February,9
150593,Bose SoundSport Headphones,1,99.99,2019-02-15 16:58:00,"441 Park St, New York City, NY 10001",99.99,New York City,February,16
150594,USB-C Charging Cable,1,11.95,2019-02-19 18:54:00,"286 8th St, San Francisco, CA 94016",11.95,San Francisco,February,18
150595,USB-C Charging Cable,1,11.95,2019-02-12 06:12:00,"734 Cherry St, San Francisco, CA 94016",11.95,San Francisco,February,6
150596,AAA Batteries (4-pack),1,2.99,2019-02-07 14:38:00,"724 Ridge St, Dallas, TX 75001",2.99,Dallas,February,14
150597,USB-C Charging Cable,1,11.95,2019-02-18 16:08:00,"758 Lincoln St, Boston, MA 02215",11.95,Boston,February,16
150598,Wired Headphones,1,11.99,2019-02-21 15:25:00,"841 12th St, Boston, MA 02215",11.99,Boston,February,15
150599,20in Monitor,1,109.99,2019-02-19 12:08:00,"677 South St, Atlanta, GA 30301",109.99,Atlanta,February,12
150600,AA Batteries (4-pack),1,3.84,2019-02-11 00:57:00,"353 11th St, San Francisco, CA 94016",3.84,San Francisco,February,0
150601,AAA Batteries (4-pack),2,2.99,2019-02-16 13:24:00,"24 Highland St, Atlanta, GA 30301",5.98,Atlanta,February,13
150602,Apple Airpods Headphones,1,150.0,2019-02-11 09:44:00,"207 Wilson St, Los Angeles, CA 90001",150.0,Los Angeles,February,9
150603,USB-C Charging Cable,1,11.95,2019-02-18 14:44:00,"772 Johnson St, Seattle, WA 98101",11.95,Seattle,February,14
150604,AA Batteries (4-pack),1,3.84,2019-02-26 17:09:00,"125 Hickory St, Atlanta, GA 30301",3.84,Atlanta,February,17
150605,USB-C Charging Cable,1,11.95,2019-02-06 14:27:00,"443 Park St, San Francisco, CA 94016",11.95,San Francisco,February,14
150606,AA Batteries (4-pack),1,3.84,2019-02-28 10:17:00,"810 Madison St, Atlanta, GA 30301",3.84,Atlanta,February,10
150607,Lightning Charging Cable,1,14.95,2019-02-27 19:36:00,"469 Church St, San Francisco, CA 94016",14.95,San Francisco,February,19
150608,ThinkPad Laptop,1,999.99,2019-02-20 11:53:00,"383 10th St, San Francisco, CA 94016",999.99,San Francisco,February,11
150609,USB-C Charging Cable,1,11.95,2019-02-09 20:23:00,"403 North St, New York City, NY 10001",11.95,New York City,February,20
150610,27in FHD Monitor,1,149.99,2019-02-19 10:42:00,"409 Church St, Boston, MA 02215",149.99,Boston,February,10
150611,AAA Batteries (4-pack),1,2.99,2019-02-04 16:49:00,"961 5th St, Portland, OR 97035",2.99,Portland,February,16
150612,USB-C Charging Cable,1,11.95,2019-02-28 20:14:00,"321 7th St, Los Angeles, CA 90001",11.95,Los Angeles,February,20
150613,AA Batteries (4-pack),1,3.84,2019-02-08 13:05:00,"198 Walnut St, Los Angeles, CA 90001",3.84,Los Angeles,February,13
150614,AA Batteries (4-pack),2,3.84,2019-02-05 17:18:00,"709 Cedar St, Boston, MA 02215",7.68,Boston,February,17
150615,27in FHD Monitor,1,149.99,2019-02-27 13:34:00,"814 Highland St, New York City, NY 10001",149.99,New York City,February,13
150616,27in 4K Gaming Monitor,1,389.99,2019-02-05 20:35:00,"985 Jackson St, Portland, OR 97035",389.99,Portland,February,20
150617,Google Phone,1,600.0,2019-02-25 00:02:00,"551 Sunset St, New York City, NY 10001",600.0,New York City,February,0
150617,USB-C Charging Cable,1,11.95,2019-02-25 00:02:00,"551 Sunset St, New York City, NY 10001",11.95,New York City,February,0
150618,USB-C Charging Cable,1,11.95,2019-02-24 12:20:00,"659 8th St, Portland, OR 97035",11.95,Portland,February,12
150619,USB-C Charging Cable,1,11.95,2019-02-17 17:23:00,"529 Madison St, Los Angeles, CA 90001",11.95,Los Angeles,February,17
150620,Apple Airpods Headphones,1,150.0,2019-02-07 15:12:00,"808 1st St, Los Angeles, CA 90001",150.0,Los Angeles,February,15
150621,AA Batteries (4-pack),1,3.84,2019-02-05 13:01:00,"173 Dogwood St, Boston, MA 02215",3.84,Boston,February,13
150622,34in Ultrawide Monitor,1,379.99,2019-02-12 16:05:00,"230 Washington St, Boston, MA 02215",379.99,Boston,February,16
150623,iPhone,1,700.0,2019-02-05 22:46:00,"96 7th St, Seattle, WA 98101",700.0,Seattle,February,22
150624,34in Ultrawide Monitor,1,379.99,2019-02-16 09:59:00,"582 Wilson St, Los Angeles, CA 90001",379.99,Los Angeles,February,9
150625,AAA Batteries (4-pack),1,2.99,2019-02-21 14:54:00,"19 5th St, New York City, NY 10001",2.99,New York City,February,14
150626,AA Batteries (4-pack),2,3.84,2019-02-26 23:55:00,"464 Center St, Dallas, TX 75001",7.68,Dallas,February,23
150627,USB-C Charging Cable,1,11.95,2019-02-17 07:01:00,"106 10th St, Portland, OR 97035",11.95,Portland,February,7
150628,Lightning Charging Cable,2,14.95,2019-02-25 17:22:00,"206 Spruce St, San Francisco, CA 94016",29.9,San Francisco,February,17
150629,AA Batteries (4-pack),1,3.84,2019-02-28 18:17:00,"686 2nd St, Los Angeles, CA 90001",3.84,Los Angeles,February,18
