OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
141234,iPhone,1,700.0,2019-01-22 21:25:00,"944 Walnut St, Boston, MA 02215",700.0,Boston,January,21
141235,Lightning Charging Cable,1,14.95,2019-01-28 14:15:00,"185 Maple St, Portland, OR 97035",14.95,Portland,January,14
141236,Wired Headphones,2,11.99,2019-01-17 13:33:00,"538 Adams St, San Francisco, CA 94016",23.98,San Francisco,January,13
141237,27in FHD Monitor,1,149.99,2019-01-05 20:33:00,"738 10th St, Los Angeles, CA 90001",149.99,Los Angeles,January,20
141238,Wired Headphones,1,11.99,2019-01-25 11:59:00,"387 10th St, Austin, TX 73301",11.99,Austin,January,11
141239,AAA Batteries (4-pack),1,2.99,2019-01-29 20:22:00,"775 Willow St, San Francisco, CA 94016",2.99,San Francisco,January,20
141240,27in 4K Gaming Monitor,1,389.99,2019-01-26 12:16:00,"979 Park St, Los Angeles, CA 90001",389.99,Los Angeles,January,12
141241,USB-C Charging Cable,1,11.95,2019-01-05 12:04:00,"181 6th St, San Francisco, CA 94016",11.95,San Francisco,January,12
141242,Bose SoundSport Headphones,1,99.99,2019-01-01 10:30:00,"867 Willow St, Los Angeles, CA 90001",99.99,Los Angeles,January,10
141243,Apple Airpods Headphones,1,150.0,2019-01-22 21:20:00,"657 Johnson St, San Francisco, CA 94016",150.0,San Francisco,January,21
141244,Apple Airpods Headphones,1,150.0,2019-01-07 11:29:00,"492 Walnut St, San Francisco, CA 94016",150.0,San Francisco,January,11
141245,Macbook Pro Laptop,1,1700.0,2019-01-31 10:12:00,"322 6th St, San Francisco, CA 94016",1700.0,San Francisco,January,10
141246,AAA Batteries (4-pack),3,2.99,2019-01-09 18:57:00,"618 7th St, Los Angeles, CA 90001",8.97,Los Angeles,January,18
141247,27in FHD Monitor,1,149.99,2019-01-25 19:19:00,"512 Wilson St, San Francisco, CA 94016",149.99,San Francisco,January,19
141248,Flatscreen TV,1,300.0,2019-01-03 21:54:00,"363 Spruce St, Austin, TX 73301",300.0,Austin,January,21
141249,27in FHD Monitor,1,149.99,2019-01-05 17:20:00,"440 Cedar St, Portland, OR 97035",149.99,Portland,January,17
141250,Vareebadd Phone,1,400.0,2019-01-10 11:20:00,"471 Center St, Los Angeles, CA 90001",400.0,Los Angeles,January,11
141251,Apple Airpods Headphones,1,150.0,2019-01-24 08:13:00,"414 Walnut St, Boston, MA 02215",150.0,Boston,January,8
141252,USB-C Charging Cable,1,11.95,2019-01-30 09:28:00,"220 9th St, Los Angeles, CA 90001",11.95,Los Angeles,January,9
141253,AA Batteries (4-pack),1,3.84,2019-01-17 00:09:00,"385 11th St, Atlanta, GA 30301",3.84,Atlanta,January,0
141254,AAA Batteries (4-pack),1,2.99,2019-01-08 11:51:00,"238 Sunset St, Seattle, WA 98101",2.99,Seattle,January,11
141255,USB-C Charging Cable,1,11.95,2019-01-09 20:55:00,"764 11th St, Los Angeles, CA 90001",11.95,Los Angeles,January,20
