OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
222910,Apple Airpods Headphones,1,150.0,2019-07-26 16:51:00,"389 South St, Atlanta, GA 30301",150.0,Atlanta,July,16
222911,Flatscreen TV,1,300.0,2019-07-05 08:55:00,"590 4th St, Seattle, WA 98101",300.0,Seattle,July,8
222912,AA Batteries (4-pack),1,3.84,2019-07-29 12:41:00,"861 Hill St, Atlanta, GA 30301",3.84,Atlanta,July,12
222913,AA Batteries (4-pack),1,3.84,2019-07-28 10:15:00,"190 Ridge St, Atlanta, GA 30301",3.84,Atlanta,July,10
222914,AAA Batteries (4-pack),5,2.99,2019-07-31 02:13:00,"824 Forest St, Seattle, WA 98101",14.950000000000001,Seattle,July,2
222915,Bose SoundSport Headphones,1,99.99,2019-07-03 18:30:00,"899 Elm St, San Francisco, CA 94016",99.99,San Francisco,July,18
222916,Google Phone,1,600.0,2019-07-21 22:39:00,"745 Chestnut St, New York City, NY 10001",600.0,New York City,July,22
222917,LG Dryer,1,600.0,2019-07-17 13:44:00,"490 Adams St, New York City, NY 10001",600.0,New York City,July,13
222918,USB-C Charging Cable,1,11.95,2019-07-14 21:16:00,"207 1st St, Los Angeles, CA 90001",11.95,Los Angeles,July,21
222919,Lightning Charging Cable,1,14.95,2019-07-14 13:24:00,"29 Jefferson St, Dallas, TX 75001",14.95,Dallas,July,13
222920,AA Batteries (4-pack),1,3.84,2019-07-30 04:42:00,"590 6th St, San Francisco, CA 94016",3.84,San Francisco,July,4
222921,Lightning Charging Cable,1,14.95,2019-07-02 11:04:00,"960 Willow St, San Francisco, CA 94016",14.95,San Francisco,July,11
222922,34in Ultrawide Monitor,1,379.99,2019-07-20 21:12:00,"616 Chestnut St, Dallas, TX 75001",379.99,Dallas,July,21
222923,AAA Batteries (4-pack),1,2.99,2019-07-05 12:16:00,"105 Johnson St, Los Angeles, CA 90001",2.99,Los Angeles,July,12
222924,Bose SoundSport Headphones,1,99.99,2019-07-13 20:46:00,"444 Spruce St, San Francisco, CA 94016",99.99,San Francisco,July,20
222925,Apple Airpods Headphones,1,150.0,2019-07-09 02:59:00,"764 Adams St, San Francisco, CA 94016",150.0,San Francisco,July,2
222926,Lightning Charging Cable,2,14.95,2019-07-15 17:44:00,"577 Lakeview St, Los Angeles, CA 90001",29.9,Los Angeles,July,17
222927,Wired Headphones,1,11.99,2019-07-31 20:34:00,"244 Washington St, Los Angeles, CA 90001",11.99,Los Angeles,July,20
222928,Google Phone,1,600.0,2019-07-15 17:18:00,"524 Cherry St, San Francisco, CA 94016",600.0,San Francisco,July,17
222929,Vareebadd Phone,1,400.0,2019-07-04 19:46:00,"882 Hickory St, Boston, MA 02215",400.0,Boston,July,19
222930,Lightning Charging Cable,1,14.95,2019-07-20 20:57:00,"826 River St, San Francisco, CA 94016",14.95,San Francisco,July,20
222931,USB-C Charging Cable,1,11.95,2019-07-18 09:21:00,"145 Pine St, Boston, MA 02215",11.95,Boston,July,9
222932,Wired Headphones,1,11.99,2019-07-24 17:32:00,"386 Cedar St, Los Angeles, CA 90001",11.99,Los Angeles,July,17
222933,LG Dryer,1,600.0,2019-07-30 13:20:00,"76 2nd St, Los Angeles, CA 90001",600.0,Los Angeles,July,13
222934,AA Batteries (4-pack),2,3.84,2019-07-03 23:51:00,"437 River St, Seattle, WA 98101",7.68,Seattle,July,23
222935,AAA Batteries (4-pack),1,2.99,2019-07-23 12:20:00,"118 9th St, San Francisco, CA 94016",2.99,San Francisco,July,12
222936,27in FHD Monitor,1,149.99,2019-07-04 12:29:00,"483 West St, Boston, MA 02215",149.99,Boston,July,12
222937,Lightning Charging Cable,2,14.95,2019-07-03 09:01:00,"538 North St, San Francisco, CA 94016",29.9,San Francisco,July,9
222938,Flatscreen TV,1,300.0,2019-07-20 17:49:00,"523 Hickory St, Dallas, TX 75001",300.0,Dallas,July,17
222939,Apple Airpods Headphones,1,150.0,2019-07-17 21:53:00,"597 Madison St, Los Angeles, CA 90001",150.0,Los Angeles,July,21
222940,Wired Headphones,2,11.99,2019-07-05 15:06:00,"779 Maple St, San Francisco, CA 94016",23.98,San Francisco,July,15
222941,Apple Airpods Headphones,1,150.0,2019-07-02 05:48:00,"631 Willow St, San Francisco, CA 94016",150.0,San Francisco,July,5
222942,Lightning Charging Cable,1,14.95,2019-07-07 10:00:00,"424 Church St, Portland, OR 97035",14.95,Portland,July,10
222943,Lightning Charging Cable,1,14.95,2019-07-20 23:39:00,"575 4th St, Seattle, WA 98101",14.95,Seattle,July,23
222944,27in FHD Monitor,1,149.99,2019-07-07 22:52:00,"70 Meadow St, San Francisco, CA 94016",149.99,San Francisco,July,22
222945,Wired Headphones,1,11.99,2019-07-21 21:51:00,"191 Dogwood St, Los Angeles, CA 90001",11.99,Los Angeles,July,21
222946,20in Monitor,1,109.99,2019-07-14 22:19:00,"49 Park St, New York City, NY 10001",109.99,New York City,July,22
222947,ThinkPad Laptop,1,999.99,2019-07-16 09:15:00,"612 Spruce St, New York City, NY 10001",999.99,New York City,July,9
222948,USB-C Charging Cable,1,11.95,2019-07-10 08:18:00,"631 12th St, San Francisco, CA 94016",11.95,San Francisco,July,8
222949,USB-C Charging Cable,1,11.95,2019-07-28 17:24:00,"902 Cedar St, Dallas, TX 75001",11.95,Dallas,July,17
222950,Lightning Charging Cable,1,14.95,2019-07-17 19:05:00,"358 1st St, Dallas, TX 75001",14.95,Dallas,July,19
222951,Apple Airpods Headphones,1,150.0,2019-07-08 12:34:00,"781 Maple St, San Francisco, CA 94016",150.0,San Francisco,July,12
222952,Lightning Charging Cable,1,14.95,2019-07-06 16:01:00,"879 Park St, San Francisco, CA 94016",14.95,San Francisco,July,16
222953,Lightning Charging Cable,1,14.95,2019-07-31 02:56:00,"109 Highland St, Los Angeles, CA 90001",14.95,Los Angeles,July,2
222954,AA Batteries (4-pack),2,3.84,2019-07-14 18:11:00,"980 Chestnut St, Dallas, TX 75001",7.68,Dallas,July,18
222955,USB-C Charging Cable,1,11.95,2019-07-01 14:27:00,"117 Lake St, Los Angeles, CA 90001",11.95,Los Angeles,July,14
222956,27in 4K Gaming Monitor,1,389.99,2019-07-11 20:18:00,"525 6th St, Atlanta, GA 30301",389.99,Atlanta,July,20
222957,AAA Batteries (4-pack),1,2.99,2019-07-19 10:11:00,"143 5th St, Portland, OR 97035",2.99,Portland,July,10
