OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
194095,Wired Headphones,1,11.99,2019-05-16 17:14:00,"669 2nd St, New York City, NY 10001",11.99,New York City,May,17
194096,AA Batteries (4-pack),1,3.84,2019-05-19 14:43:00,"844 Walnut St, Dallas, TX 75001",3.84,Dallas,May,14
194097,27in FHD Monitor,1,149.99,2019-05-24 11:36:00,"164 Madison St, New York City, NY 10001",149.99,New York City,May,11
194098,Wired Headphones,1,11.99,2019-05-02 20:40:00,"622 Meadow St, Dallas, TX 75001",11.99,Dallas,May,20
194099,AAA Batteries (4-pack),2,2.99,2019-05-11 22:55:00,"17 Church St, Seattle, WA 98101",5.98,Seattle,May,22
194100,iPhone,1,700.0,2019-05-10 19:44:00,"81 Jefferson St, San Francisco, CA 94016",700.0,San Francisco,May,19
194101,USB-C Charging Cable,1,11.95,2019-05-11 22:44:00,"354 Meadow St, Boston, MA 02215",11.95,Boston,May,22
194102,Lightning Charging Cable,1,14.95,2019-05-07 12:49:00,"166 4th St, Dallas, TX 75001",14.95,Dallas,May,12
194103,27in FHD Monitor,1,149.99,2019-05-24 18:28:00,"759 Pine St, Seattle, WA 98101",149.99,Seattle,May,18
194104,Wired Headphones,1,11.99,2019-05-04 18:38:00,"330 1st St, Seattle, WA 98101",11.99,Seattle,May,18
194105,ThinkPad Laptop,1,999.99,2019-05-13 09:07:00,"928 Hill St, Atlanta, GA 30301",999.99,Atlanta,May,9
194106,USB-C Charging Cable,1,11.95,2019-05-12 10:07:00,"261 Jackson St, San Francisco, CA 94016",11.95,San Francisco,May,10
194107,34in Ultrawide Monitor,1,379.99,2019-05-19 17:52:00,"451 Walnut St, New York City, NY 10001",379.99,New York City,May,17
194108,AA Batteries (4-pack),1,3.84,2019-05-22 18:15:00,"832 Lakeview St, Austin, TX 73301",3.84,Austin,May,18
194109,AAA Batteries (4-pack),1,2.99,2019-05-15 14:00:00,"202 11th St, Los Angeles, CA 90001",2.99,Los Angeles,May,14
194110,Google Phone,1,600.0,2019-05-31 18:07:00,"498 14th St, Los Angeles, CA 90001",600.0,Los Angeles,May,18
194110,Wired Headphones,1,11.99,2019-05-31 18:07:00,"498 14th St, Los Angeles, CA 90001",11.99,Los Angeles,May,18
194111,27in FHD Monitor,1,149.99,2019-05-04 15:08:00,"99 Dogwood St, Dallas, TX 75001",149.99,Dallas,May,15
194112,Google Phone,1,600.0,2019-05-29 21:13:00,"853 West St, Austin, TX 73301",600.0,Austin,May,21
194113,Apple Airpods Headphones,1,150.0,2019-05-10 22:33:00,"29 Adams St, Los Angeles, CA 90001",150.0,Los Angeles,May,22
194114,Wired Headphones,1,11.99,2019-05-20 01:57:00,"857 River St, Atlanta, GA 30301",11.99,Atlanta,May,1
194115,AAA Batteries (4-pack),1,2.99,2019-05-30 20:29:00,"159 Lincoln St, Los Angeles, CA 90001",2.99,Los Angeles,May,20
194116,Lightning Charging Cable,1,14.95,2019-05-19 23:19:00,"486 6th St, Boston, MA 02215",14.95,Boston,May,23
194117,Lightning Charging Cable,1,14.95,2019-05-12 08:44:00,"239 Madison St, Austin, TX 73301",14.95,Austin,May,8
194118,AA Batteries (4-pack),1,3.84,2019-05-18 22:54:00,"762 Maple St, Boston, MA 02215",3.84,Boston,May,22
194119,Wired Headphones,3,11.99,2019-05-07 07:15:00,"531 Jackson St, New York City, NY 10001",35.97,New York City,May,7
194120,AAA Batteries (4-pack),1,2.99,2019-05-11 21:53:00,"492 Washington St, Los Angeles, CA 90001",2.99,Los Angeles,May,21
194121,LG Dryer,1,600.0,2019-05-10 20:41:00,"911 Hill St, Los Angeles, CA 90001",600.0,Los Angeles,May,20
194122,Wired Headphones,1,11.99,2019-05-27 16:18:00,"573 Spruce St, Dallas, TX 75001",11.99,Dallas,May,16
194123,Apple Airpods Headphones,1,150.0,2019-05-24 00:34:00,"546 Meadow St, Atlanta, GA 30301",150.0,Atlanta,May,0
194124,iPhone,1,700.0,2019-05-04 23:40:00,"937 North St, Portland, OR 97035",700.0,Portland,May,23
194125,Bose SoundSport Headphones,1,99.99,2019-05-19 21:33:00,"613 Lake St, San Francisco, CA 94016",99.99,San Francisco,May,21
194126,AAA Batteries (4-pack),2,2.99,2019-05-19 21:28:00,"549 Willow St, Los Angeles, CA 90001",5.98,Los Angeles,May,21
194127,Wired Headphones,1,11.99,2019-05-15 14:46:00,"320 River St, Seattle, WA 98101",11.99,Seattle,May,14
194128,AAA Batteries (4-pack),2,2.99,2019-05-03 18:15:00,"851 Wilson St, San Francisco, CA 94016",5.98,San Francisco,May,18
194129,AA Batteries (4-pack),2,3.84,2019-05-05 11:51:00,"487 Dogwood St, Seattle, WA 98101",7.68,Seattle,May,11
