OrderID,Product,QuantityOrdered,PriceEach,OrderDate,PurchaseAddress,Sales,City,Month,Hour
259358,34in Ultrawide Monitor,1,379.99,2019-10-28 10:56:00,"609 Cherry St, Dallas, TX 75001",379.99,Dallas,October,10
259359,27in 4K Gaming Monitor,1,389.99,2019-10-28 17:26:00,"225 5th St, Los Angeles, CA 90001",389.99,Los Angeles,October,17
259360,AAA Batteries (4-pack),2,2.99,2019-10-24 17:20:00,"967 12th St, New York City, NY 10001",5.98,New York City,October,17
259361,27in FHD Monitor,1,149.99,2019-10-14 22:26:00,"628 Jefferson St, New York City, NY 10001",149.99,New York City,October,22
259362,Wired Headphones,1,11.99,2019-10-07 16:10:00,"534 14th St, Los Angeles, CA 90001",11.99,Los Angeles,October,16
259363,AAA Batteries (4-pack),1,2.99,2019-10-01 18:55:00,"976 Lake St, New York City, NY 10001",2.99,New York City,October,18
259364,Wired Headphones,1,11.99,2019-10-29 11:02:00,"874 North St, Los Angeles, CA 90001",11.99,Los Angeles,October,11
259365,Lightning Charging Cable,1,14.95,2019-10-29 11:19:00,"127 12th St, Los Angeles, CA 90001",14.95,Los Angeles,October,11
259366,Apple Airpods Headphones,1,150.0,2019-10-20 11:52:00,"955 9th St, Los Angeles, CA 90001",150.0,Los Angeles,October,11
259367,Apple Airpods Headphones,1,150.0,2019-10-16 16:19:00,"742 14th St, San Francisco, CA 94016",150.0,San Francisco,October,16
259368,27in FHD Monitor,1,149.99,2019-10-13 13:47:00,"960 Ridge St, Boston, MA 02215",149.99,Boston,October,13
259369,USB-C Charging Cable,1,11.95,2019-10-26 10:54:00,"538 Johnson St, Portland, OR 97035",11.95,Portland,October,10
259370,20in Monitor,1,109.99,2019-10-28 23:56:00,"528 Forest St, San Francisco, CA 94016",109.99,San Francisco,October,23
259371,iPhone,1,700.0,2019-10-26 12:12:00,"306 Main St, Los Angeles, CA 90001",700.0,Los Angeles,October,12
259372,Wired Headphones,1,11.99,2019-10-17 11:07:00,"434 Madison St, San Francisco, CA 94016",11.99,San Francisco,October,11
259373,27in FHD Monitor,1,149.99,2019-10-31 20:15:00,"924 Church St, San Francisco, CA 94016",149.99,San Francisco,October,20
259374,Apple Airpods Headphones,1,150.0,2019-10-17 22:14:00,"784 6th St, Los Angeles, CA 90001",150.0,Los Angeles,October,22
259375,USB-C Charging Cable,1,11.95,2019-10-10 08:53:00,"557 Forest St, San Francisco, CA 94016",11.95,San Francisco,October,8
259376,27in FHD Monitor,1,149.99,2019-10-12 00:03:00,"218 14th St, San Francisco, CA 94016",149.99,San Francisco,October,0
259377,Bose SoundSport Headphones,1,99.99,2019-10-23 16:49:00,"88 Main St, Boston, MA 02215",99.99,Boston,October,16
259378,Lightning Charging Cable,1,14.95,2019-10-18 16:45:00,"997 1st St, Boston, MA 02215",14.95,Boston,October,16
259379,27in 4K Gaming Monitor,1,389.99,2019-10-09 13:15:00,"148 Lincoln St, San Francisco, CA 94016",389.99,San Francisco,October,13
259380,Apple Airpods Headphones,1,150.0,2019-10-19 12:21:00,"424 North St, San Francisco, CA 94016",150.0,San Francisco,October,12
259381,ThinkPad Laptop,1,999.99,2019-10-25 08:44:00,"887 12th St, New York City, NY 10001",999.99,New York City,October,8
259382,Wired Headphones,1,11.99,2019-10-18 14:16:00,"605 Ridge St, New York City, NY 10001",11.99,New York City,October,14
259383,Apple Airpods Headphones,1,150.0,2019-10-13 12:32:00,"597 6th St, Los Angeles, CA 90001",150.0,Los Angeles,October,12
259384,ThinkPad Laptop,1,999.99,2019-10-29 23:22:00,"383 Cedar St, Dallas, TX 75001",999.99,Dallas,October,23
259385,Lightning Charging Cable,1,14.95,2019-10-28 15:28:00,"892 1st St, Los Angeles, CA 90001",14.95,Los Angeles,October,15
259386,Lightning Charging Cable,1,14.95,2019-10-16 21:39:00,"966 Hickory St, Los Angeles, CA 90001",14.95,Los Angeles,October,21
259387,Bose SoundSport Headphones,1,99.99,2019-10-01 13:58:00,"695 6th St, New York City, NY 10001",99.99,New York City,October,13
259388,AA Batteries (4-pack),1,3.84,2019-10-12 13:15:00,"948 Forest St, San Francisco, CA 94016",3.84,San Francisco,October,13
259389,AAA Batteries (4-pack),1,2.99,2019-10-17 14:14:00,"661 Maple St, Dallas, TX 75001",2.99,Dallas,October,14
259390,Lightning Charging Cable,1,14.95,2019-10-08 12:35:00,"134 Cherry St, Atlanta, GA 30301",14.95,Atlanta,October,12
259391,Google Phone,1,600.0,2019-10-24 12:51:00,"374 Hill St, Dallas, TX 75001",600.0,Dallas,October,12
259392,Wired Headphones,1,11.99,2019-10-19 15:26:00,"374 Forest St, Los Angeles, CA 90001",11.99,Los Angeles,October,15
259393,AA Batteries (4-pack),1,3.84,2019-10-22 20:35:00,"2 13th St, New York City, NY 10001",3.84,New York City,October,20
259394,AA Batteries (4-pack),1,3.84,2019-10-24 18:58:00,"909 Lake St, Atlanta, GA 30301",3.84,Atlanta,October,18
259395,Bose SoundSport Headphones,1,99.99,2019-10-13 13:55:00,"235 Adams St, Atlanta, GA 30301",99.99,Atlanta,October,13
259396,AAA Batteries (4-pack),1,2.99,2019-10-23 22:40:00,"218 Spruce St, Austin, TX 73301",2.99,Austin,October,22
259397,Wired Headphones,1,11.99,2019-10-01 14:39:00,"901 Walnut St, Atlanta, GA 30301",11.99,Atlanta,October,14
259398,Bose SoundSport Headphones,1,99.99,2019-10-22 10:20:00,"367 Pine St, Seattle, WA 98101",99.99,Seattle,October,10
259399,AAA Batteries (4-pack),2,2.99,2019-10-31 19:06:00,"263 Willow St, San Francisco, CA 94016",5.98,San Francisco,October,19
259400,27in 4K Gaming Monitor,1,389.99,2019-10-19 09:24:00,"628 Forest St, Los Angeles, CA 90001",389.99,Los Angeles,October,9
259401,Wired Headphones,1,11.99,2019-10-15 23:39:00,"291 Lincoln St, Los Angeles, CA 90001",11.99,Los Angeles,October,23
259402,AA Batteries (4-pack),3,3.84,2019-10-09 20:27:00,"11 Lakeview St, Seattle, WA 98101",11.52,Seattle,October,20
259403,USB-C Charging Cable,1,11.95,2019-10-25 19:42:00,"255 Cedar St, New York City, NY 10001",11.95,New York City,October,19
259404,Bose SoundSport Headphones,1,99.99,2019-10-07 19:48:00,"883 5th St, Boston, MA 02215",99.99,Boston,October,19
259405,Bose SoundSport Headphones,1,99.99,2019-10-07 19:19:00,"698 Center St, Dallas, TX 75001",99.99,Dallas,October,19
259406,AA Batteries (4-pack),1,3.84,2019-10-12 12:01:00,"665 Elm St, Atlanta, GA 30301",3.84,Atlanta,October,12
259407,Lightning Charging Cable,1,14.95,2019-10-30 12:09:00,"189 Chestnut St, San Francisco, CA 94016",14.95,San Francisco,October,12
259408,34in Ultrawide Monitor,1,379.99,2019-10-21 20:09:00,"36 Pine St, Los Angeles, CA 90001",379.99,Los Angeles,October,20
